C:\ProgramData\Anaconda3\envs\tensorflow\python.exe C:/python/pythonProject8/agent.py
2021-05-11 16:03:35.711999: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'cudart64_110.dll'; dlerror: cudart64_110.dll not found
2021-05-11 16:03:35.712266: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
2021-05-11 16:03:47.750837: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-05-11 16:03:47.755541: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'nvcuda.dll'; dlerror: nvcuda.dll not found
2021-05-11 16:03:47.755875: W tensorflow/stream_executor/cuda/cuda_driver.cc:326] failed call to cuInit: UNKNOWN ERROR (303)
2021-05-11 16:03:47.769767: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:169] retrieving CUDA diagnostic information for host: LAPTOP-JDE9VFPB
2021-05-11 16:03:47.770262: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:176] hostname: LAPTOP-JDE9VFPB
2021-05-11 16:03:47.770917: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-05-11 16:03:47.771966: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
에피소드 2200 : 999, epsilon: 0.3327795262194029, 보상 합:879
에피소드 2300 : 761, epsilon: 0.31654571904563433, 보상 합:628
에피소드 2400 : 775, epsilon: 0.3011038370793723, 보상 합:651
에피소드 2500 : 696, epsilon: 0.28641524825313086, 보상 합:575
에피소드 2600 : 999, epsilon: 0.27244320506708813, 보상 합:828
에피소드 2700 : 895, epsilon: 0.25915275265522114, 보상 합:772
에피소드 2800 : 687, epsilon: 0.24651064133620196, 보상 합:570
에피소드 2900 : 999, epsilon: 0.23448524343027585, 보상 합:865
에피소드 3000 : 999, epsilon: 0.22304647413401948, 보상 합:897
에피소드 3100 : 999, epsilon: 0.21216571625502262, 보상 합:910
에피소드 3200 : 999, epsilon: 0.2018157486181985, 보상 합:881
에피소드 3300 : 999, epsilon: 0.1919706779646106, 보상 합:837
에피소드 3400 : 999, epsilon: 0.1826058741724434, 보상 합:908
에피소드 3500 : 999, epsilon: 0.17369790863805412, 보상 합:936
에피소드 3600 : 999, epsilon: 0.1652244956629483, 보상 합:974
에피소드 3700 : 999, epsilon: 0.1571644367000449, 보상 합:965
에피소드 3800 : 378, epsilon: 0.1494975673197442, 보상 합:310
에피소드 3900 : 178, epsilon: 0.1422047067631241, 보상 합:131
에피소드 4000 : 140, epsilon: 0.13526760995605422, 보상 합:86
에피소드 4100 : 999, epsilon: 0.12866892186418147, 보상 합:976
에피소드 4200 : 999, epsilon: 0.12239213407459068, 보상 합:969
에피소드 4300 : 771, epsilon: 0.1164215434955208, 보상 합:690
에피소드 4400 : 999, epsilon: 0.11074221307080971, 보상 합:957
에피소드 4500 : 999, epsilon: 0.10533993441078586, 보상 합:913
에피소드 4600 : 999, epsilon: 0.1002011922461172, 보상 합:928
에피소드 4700 : 999, epsilon: 0.09531313061568897, 보상 합:968
에피소드 4800 : 263, epsilon: 0.09066352070392071, 보상 합:169
에피소드 4900 : 999, epsilon: 0.08624073024705824, 보상 합:962
에피소드 5000 : 999, epsilon: 0.0820336944319021, 보상 합:956
에피소드 5100 : 999, epsilon: 0.07803188821416818, 보상 합:938
에피소드 5200 : 999, epsilon: 0.07422529998722693, 보상 합:966
에피소드 5300 : 999, epsilon: 0.0706044065353464, 보상 합:953
에피소드 5400 : 999, epsilon: 0.06716014920877787, 보상 합:975
에피소드 5500 : 999, epsilon: 0.06388391126108031, 보상 합:979
에피소드 5600 : 945, epsilon: 0.06076749629198526, 보상 합:886
에피소드 5700 : 883, epsilon: 0.05780310774187243, 보상 합:796
에피소드 5800 : 372, epsilon: 0.05498332938655545, 보상 합:311
에피소드 5900 : 999, epsilon: 0.05230110678358006, 보상 합:985
에피소드 6000 : 999, epsilon: 0.04974972962361759, 보상 합:988
에피소드 6100 : 999, epsilon: 0.04732281494280139, 보상 합:990
에피소드 6200 : 999, epsilon: 0.04501429115400657, 보상 합:1000
에피소드 6300 : 999, epsilon: 0.04281838285712347, 보상 합:953
에피소드 6400 : 999, epsilon: 0.04072959639032367, 보상 합:985
에피소드 6500 : 607, epsilon: 0.03874270608617077, 보상 합:547
에피소드 6600 : 999, epsilon: 0.03685274119819199, 보상 합:993
에피소드 6700 : 999, epsilon: 0.03505497346520412, 보상 합:992
에피소드 6800 : 509, epsilon: 0.03334490528228201, 보상 합:409
에피소드 6900 : 704, epsilon: 0.03171825844877686, 보상 합:627
에피소드 7000 : 999, epsilon: 0.03017096346523357, 보상 합:955
에피소드 7100 : 999, epsilon: 0.03, 보상 합:973
에피소드 7200 : 999, epsilon: 0.03, 보상 합:1017
에피소드 7300 : 999, epsilon: 0.03, 보상 합:978
에피소드 7400 : 999, epsilon: 0.03, 보상 합:987
에피소드 7500 : 718, epsilon: 0.03, 보상 합:639
에피소드 7600 : 999, epsilon: 0.03, 보상 합:991
에피소드 7700 : 999, epsilon: 0.03, 보상 합:984
에피소드 7800 : 281, epsilon: 0.03, 보상 합:186
에피소드 7900 : 425, epsilon: 0.03, 보상 합:339
에피소드 8000 : 999, epsilon: 0.03, 보상 합:1013
에피소드 8100 : 999, epsilon: 0.03, 보상 합:964
에피소드 8200 : 999, epsilon: 0.03, 보상 합:996
에피소드 8300 : 999, epsilon: 0.03, 보상 합:990
에피소드 8400 : 999, epsilon: 0.03, 보상 합:1006
에피소드 8500 : 999, epsilon: 0.03, 보상 합:988
에피소드 8600 : 999, epsilon: 0.03, 보상 합:987
에피소드 8700 : 999, epsilon: 0.03, 보상 합:967
에피소드 8800 : 999, epsilon: 0.03, 보상 합:1017
에피소드 8900 : 999, epsilon: 0.03, 보상 합:989
에피소드 9000 : 999, epsilon: 0.03, 보상 합:987
에피소드 9100 : 999, epsilon: 0.03, 보상 합:945
에피소드 9200 : 999, epsilon: 0.03, 보상 합:982
에피소드 9300 : 306, epsilon: 0.03, 보상 합:254
에피소드 9400 : 999, epsilon: 0.03, 보상 합:969
에피소드 9500 : 999, epsilon: 0.03, 보상 합:1017
에피소드 9600 : 999, epsilon: 0.03, 보상 합:959
에피소드 9700 : 999, epsilon: 0.03, 보상 합:988
에피소드 9800 : 999, epsilon: 0.03, 보상 합:980
에피소드 9900 : 999, epsilon: 0.03, 보상 합:961

Process finished with exit code 0
