C:\ProgramData\Anaconda3\envs\tensorflow\python.exe C:/python/pythonProject8/agent.py
2021-05-12 01:37:49.611487: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'cudart64_110.dll'; dlerror: cudart64_110.dll not found
2021-05-12 01:37:49.611819: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
2021-05-12 01:37:59.820959: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-05-12 01:37:59.824852: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'nvcuda.dll'; dlerror: nvcuda.dll not found
2021-05-12 01:37:59.825108: W tensorflow/stream_executor/cuda/cuda_driver.cc:326] failed call to cuInit: UNKNOWN ERROR (303)
2021-05-12 01:37:59.835816: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:169] retrieving CUDA diagnostic information for host: LAPTOP-JDE9VFPB
2021-05-12 01:37:59.836330: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:176] hostname: LAPTOP-JDE9VFPB
2021-05-12 01:37:59.836985: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-05-12 01:37:59.837937: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
에피소드 2200 : 999, epsilon: 0.3327795262194029, 보상 합:895
에피소드 2300 : 999, epsilon: 0.31654571904563433, 보상 합:850
에피소드 2400 : 573, epsilon: 0.3011038370793723, 보상 합:453
에피소드 2500 : 999, epsilon: 0.28641524825313086, 보상 합:828
에피소드 2600 : 999, epsilon: 0.27244320506708813, 보상 합:809
에피소드 2700 : 999, epsilon: 0.25915275265522114, 보상 합:903
에피소드 2800 : 999, epsilon: 0.24651064133620196, 보상 합:889
에피소드 2900 : 999, epsilon: 0.23448524343027585, 보상 합:889
에피소드 3000 : 999, epsilon: 0.22304647413401948, 보상 합:927
에피소드 3100 : 999, epsilon: 0.21216571625502262, 보상 합:879
에피소드 3200 : 999, epsilon: 0.2018157486181985, 보상 합:885
에피소드 3300 : 184, epsilon: 0.1919706779646106, 보상 합:110
에피소드 3400 : 999, epsilon: 0.1826058741724434, 보상 합:928
에피소드 3500 : 999, epsilon: 0.17369790863805412, 보상 합:900
에피소드 3600 : 999, epsilon: 0.1652244956629483, 보상 합:897
에피소드 3700 : 999, epsilon: 0.1571644367000449, 보상 합:954
에피소드 3800 : 999, epsilon: 0.1494975673197442, 보상 합:920
에피소드 3900 : 999, epsilon: 0.1422047067631241, 보상 합:960
에피소드 4000 : 999, epsilon: 0.13526760995605422, 보상 합:949
에피소드 4100 : 138, epsilon: 0.12866892186418147, 보상 합:87
에피소드 4200 : 999, epsilon: 0.12239213407459068, 보상 합:923
에피소드 4300 : 894, epsilon: 0.1164215434955208, 보상 합:782
에피소드 4400 : 999, epsilon: 0.11074221307080971, 보상 합:890
에피소드 4500 : 999, epsilon: 0.10533993441078586, 보상 합:891
에피소드 4600 : 999, epsilon: 0.1002011922461172, 보상 합:963
에피소드 4700 : 999, epsilon: 0.09531313061568897, 보상 합:951
에피소드 4800 : 999, epsilon: 0.09066352070392071, 보상 합:978
에피소드 4900 : 999, epsilon: 0.08624073024705824, 보상 합:963
에피소드 5000 : 999, epsilon: 0.0820336944319021, 보상 합:969
에피소드 5100 : 999, epsilon: 0.07803188821416818, 보상 합:996
에피소드 5200 : 999, epsilon: 0.07422529998722693, 보상 합:946
에피소드 5300 : 999, epsilon: 0.0706044065353464, 보상 합:956
에피소드 5400 : 999, epsilon: 0.06716014920877787, 보상 합:951
에피소드 5500 : 999, epsilon: 0.06388391126108031, 보상 합:985
에피소드 5600 : 999, epsilon: 0.06076749629198526, 보상 합:999
에피소드 5700 : 999, epsilon: 0.05780310774187243, 보상 합:1001
에피소드 5800 : 999, epsilon: 0.05498332938655545, 보상 합:960
에피소드 5900 : 999, epsilon: 0.05230110678358006, 보상 합:920
에피소드 6000 : 999, epsilon: 0.04974972962361759, 보상 합:994
에피소드 6100 : 999, epsilon: 0.04732281494280139, 보상 합:965
에피소드 6200 : 999, epsilon: 0.04501429115400657, 보상 합:1001
에피소드 6300 : 999, epsilon: 0.04281838285712347, 보상 합:966
에피소드 6400 : 999, epsilon: 0.04072959639032367, 보상 합:955
에피소드 6500 : 999, epsilon: 0.03874270608617077, 보상 합:1001
에피소드 6600 : 566, epsilon: 0.03685274119819199, 보상 합:513
에피소드 6700 : 999, epsilon: 0.03505497346520412, 보상 합:1002
에피소드 6800 : 999, epsilon: 0.03334490528228201, 보상 합:1002
에피소드 6900 : 999, epsilon: 0.03171825844877686, 보상 합:1004
에피소드 7000 : 999, epsilon: 0.03017096346523357, 보상 합:976
에피소드 7100 : 999, epsilon: 0.03, 보상 합:967
에피소드 7200 : 999, epsilon: 0.03, 보상 합:929
에피소드 7300 : 999, epsilon: 0.03, 보상 합:964
에피소드 7400 : 999, epsilon: 0.03, 보상 합:939
에피소드 7500 : 999, epsilon: 0.03, 보상 합:993
에피소드 7600 : 999, epsilon: 0.03, 보상 합:976
에피소드 7700 : 999, epsilon: 0.03, 보상 합:991
에피소드 7800 : 999, epsilon: 0.03, 보상 합:991
에피소드 7900 : 999, epsilon: 0.03, 보상 합:986
에피소드 8000 : 999, epsilon: 0.03, 보상 합:957
에피소드 8100 : 999, epsilon: 0.03, 보상 합:989
에피소드 8200 : 999, epsilon: 0.03, 보상 합:986
에피소드 8300 : 999, epsilon: 0.03, 보상 합:1000
에피소드 8400 : 999, epsilon: 0.03, 보상 합:979
에피소드 8500 : 999, epsilon: 0.03, 보상 합:976
에피소드 8600 : 999, epsilon: 0.03, 보상 합:1023
에피소드 8700 : 999, epsilon: 0.03, 보상 합:967
에피소드 8800 : 999, epsilon: 0.03, 보상 합:1009
에피소드 8900 : 999, epsilon: 0.03, 보상 합:996
에피소드 9000 : 999, epsilon: 0.03, 보상 합:939
에피소드 9100 : 999, epsilon: 0.03, 보상 합:994
에피소드 9200 : 999, epsilon: 0.03, 보상 합:952
에피소드 9300 : 999, epsilon: 0.03, 보상 합:999
에피소드 9400 : 999, epsilon: 0.03, 보상 합:1024
에피소드 9500 : 999, epsilon: 0.03, 보상 합:994
에피소드 9600 : 999, epsilon: 0.03, 보상 합:999
에피소드 9700 : 999, epsilon: 0.03, 보상 합:986
에피소드 9800 : 999, epsilon: 0.03, 보상 합:1000
에피소드 9900 : 999, epsilon: 0.03, 보상 합:976
