0 , 72, 1.0, 73
100 , 195, 0.9950123548119847, 196
200 , 48, 0.9900495862284902, 49
300 , 49, 0.9851115701738412, 50
400 , 52, 0.9801981831912049, 53
500 , 100, 0.9753093024395098, 101
600 , 47, 0.9704448056903707, 48
700 , 52, 0.9656045713250346, 53
800 , 81, 0.9607884783313398, 82
900 , 51, 0.9559964063006904, 52
1000 , 93, 0.9512282354250445, 94
1100 , 93, 0.9464838464939228, 94
1200 , 53, 0.9417631208914232, 54
1300 , 81, 0.9370659405932589, 82
1400 , 46, 0.9323921881638054, 47
1500 , 116, 0.9277417467531668, 117
1600 , 220, 0.9231145000942527, 221
1700 , 47, 0.9185103324998704, 48
1800 , 53, 0.9139291288598353, 54
1900 , 108, 0.9093707746380905, 109
2000 , 50, 0.9048351558698455, 51
2100 , 89, 0.9003221591587243, 90
2200 , 45, 0.8958316716739327, 46
2300 , 227, 0.8913635811474366, 228
2400 , 59, 0.8869177758711543, 60
2500 , 87, 0.8824941446941652, 88
2600 , 47, 0.8780925770199298, 48
2700 , 51, 0.8737129628035243, 52
2800 , 120, 0.8693551925488907, 121
2900 , 86, 0.8650191573060978, 87
3000 , 46, 0.8607047486686187, 47
3100 , 150, 0.8564118587706196, 151
3200 , 47, 0.8521403802842631, 48
3300 , 82, 0.8478902064170248, 83
3400 , 48, 0.843661230909024, 49
3500 , 50, 0.8394533480303654, 51
3600 , 43, 0.8352664525784984, 44
3700 , 86, 0.8311004398755846, 87
3800 , 53, 0.826955205765881, 54
3900 , 50, 0.822830646613139, 51
4000 , 50, 0.8187266592980071, 51
4100 , 46, 0.8146431412154591, 47
4200 , 90, 0.810579990272226, 91
4300 , 81, 0.8065371048842433, 82
4400 , 44, 0.8025143839741113, 45
4500 , 161, 0.7985117269685691, 162
4600 , 56, 0.7945290337959804, 57
4700 , 89, 0.7905662048838291, 90
4800 , 249, 0.786623141156233, 250
4900 , 75, 0.7826997440314639, 76
5000 , 111, 0.7787959154194843, 112
5100 , 85, 0.7749115577194965, 86
5200 , 46, 0.7710465738174995, 47
5300 , 128, 0.767200867083863, 129
5400 , 39, 0.763374341370911, 40
5500 , 121, 0.7595669010105176, 122
5600 , 81, 0.7557784508117166, 82
5700 , 50, 0.7520088960583194, 51
5800 , 45, 0.7482581425065495, 46
5900 , 47, 0.7445260963826833, 48
6000 , 53, 0.7408126643807084, 54
6100 , 52, 0.7371177536599894, 53
6200 , 79, 0.7334412718429463, 80
6300 , 79, 0.7297831270127476, 80
6400 , 88, 0.726143227711008, 89
6500 , 152, 0.7225214829355054, 153
6600 , 48, 0.7189178021379041, 49
6700 , 163, 0.7153320952214923, 164
6800 , 53, 0.7117642725389279, 54
6900 , 82, 0.7082142448899977, 83
7000 , 45, 0.7046819235193887, 46
7100 , 55, 0.7011672201144661, 56
7200 , 88, 0.6976700468030675, 89
7300 , 50, 0.6941903161513077, 51
7400 , 47, 0.6907279411613888, 48
7500 , 48, 0.6872828352694271, 49
7600 , 43, 0.6838549123432907, 44
7700 , 41, 0.6804440866804413, 42
7800 , 54, 0.677050273005796, 55
7900 , 44, 0.6736733864695941, 45
8000 , 190, 0.6703133426452752, 191
8100 , 234, 0.6669700575273669, 235
8200 , 84, 0.6636434475293898, 85
8300 , 76, 0.6603334294817619, 77
8400 , 150, 0.6570399206297214, 151
8500 , 57, 0.6537628386312585, 58
8600 , 81, 0.6505021015550557, 82
8700 , 91, 0.6472576278784408, 92
8800 , 57, 0.6440293364853462, 58
8900 , 87, 0.6408171466642842, 88
9000 , 44, 0.6376209781063263, 45
9100 , 88, 0.6344407509030966, 89
9200 , 49, 0.6312763855447736, 50
9300 , 88, 0.6281278029181032, 89
9400 , 129, 0.62499492430442, 130
9500 , 46, 0.621877671377679, 47
9600 , 101, 0.618775966202498, 102
9700 , 48, 0.6156897312322083, 49
9800 , 54, 0.6126188893069178, 55
9900 , 93, 0.6095633636515787, 94
10000 , 56, 0.6065230778740716, 57
10100 , 79, 0.6034979559632925, 80
10200 , 178, 0.6004879222872556, 179
10300 , 121, 0.5974929015911985, 122
10400 , 46, 0.594512818995704, 47
10500 , 143, 0.5915475999948258, 144
10600 , 55, 0.58859717045423, 56
10700 , 80, 0.5856614566093343, 81
10800 , 129, 0.5827403850634706, 130
10900 , 53, 0.5798338827860471, 54
11000 , 56, 0.5769418771107209, 57
11100 , 216, 0.5740642957335859, 217
11200 , 98, 0.5712010667113592, 99
11300 , 85, 0.5683521184595874, 86
11400 , 124, 0.5655173797508543, 125
11500 , 56, 0.5626967797130004, 57
11600 , 122, 0.5598902478273522, 123
11700 , 56, 0.5570977139269595, 57
11800 , 52, 0.5543191081948373, 53
11900 , 65, 0.551554361162224, 66
12000 , 81, 0.5488034037068446, 82
12100 , 48, 0.5460661670511799, 49
12200 , 55, 0.5433425827607494, 56
12300 , 93, 0.5406325827423988, 94
12400 , 63, 0.5379360992426001, 64
12500 , 82, 0.5352530648457532, 83
12600 , 275, 0.532583412472505, 276
12700 , 88, 0.5299270753780697, 89
12800 , 163, 0.5272839871505609, 164
12900 , 101, 0.5246540817093323, 102
13000 , 49, 0.5220372933033217, 50
13100 , 88, 0.5194335565094124, 89
13200 , 50, 0.5168428062307945, 51
13300 , 393, 0.5142649776953369, 394
13400 , 134, 0.5117000064539697, 135
13500 , 140, 0.509147828379072, 141
13600 , 54, 0.5066083796628685, 55
13700 , 60, 0.5040815968158346, 61
13800 , 89, 0.5015674166651087, 90
13900 , 45, 0.49906577635291366, 46
14000 , 47, 0.4965766133349839, 48
