C:\ProgramData\Anaconda3\envs\tensorflow\python.exe C:/python/pythonProject8/agent.py
2021-05-03 22:11:21.426066: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'cudart64_110.dll'; dlerror: cudart64_110.dll not found
2021-05-03 22:11:21.426335: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
2021-05-03 22:11:31.870116: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-05-03 22:11:31.874799: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'nvcuda.dll'; dlerror: nvcuda.dll not found
2021-05-03 22:11:31.875150: W tensorflow/stream_executor/cuda/cuda_driver.cc:326] failed call to cuInit: UNKNOWN ERROR (303)
2021-05-03 22:11:31.886472: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:169] retrieving CUDA diagnostic information for host: LAPTOP-JDE9VFPB
2021-05-03 22:11:31.886967: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:176] hostname: LAPTOP-JDE9VFPB
2021-05-03 22:11:31.887592: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-05-03 22:11:31.888479: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
에피소드 0 : 921, epsilon: 1.5, 보상 합:574
에피소드 100 : 980, epsilon: 1.4268262953635011, 보상 합:631
에피소드 200 : 338, epsilon: 1.3572221847604897, 보상 합:190
에피소드 300 : 576, epsilon: 1.2910135345779783, 보상 합:343
에피소드 400 : 999, epsilon: 1.2280347058706922, 보상 합:655
에피소드 500 : 757, epsilon: 1.1681281399701908, 보상 합:496
에피소드 600 : 877, epsilon: 1.111143964309016, 보상 합:552
에피소드 700 : 763, epsilon: 1.056939617473699, 보상 합:482
에피소드 800 : 854, epsilon: 1.005379492548609, 보상 합:542
에피소드 900 : 549, epsilon: 0.9563345978583789, 보상 합:341
에피소드 1000 : 614, epsilon: 0.9096822342601434, 보상 합:394
에피소드 1100 : 999, epsilon: 0.8653056881782626, 보상 합:685
에피소드 1200 : 335, epsilon: 0.8230939396135708, 보상 합:199
에피소드 1300 : 475, epsilon: 0.7829413843966541, 보상 합:314
에피소드 1400 : 952, epsilon: 0.7447475699902992, 보상 합:690
에피소드 1500 : 512, epsilon: 0.7084169441801518, 보상 합:350
에피소드 1600 : 999, epsilon: 0.6738586160248651, 보상 합:735
에피소드 1700 : 337, epsilon: 0.6409861284676901, 보상 합:211
에피소드 1800 : 448, epsilon: 0.6097172420406319, 보상 합:329
에피소드 1900 : 544, epsilon: 0.5799737291200572, 보상 합:409
에피소드 2000 : 949, epsilon: 0.5516811782190176, 보상 합:746
에피소드 2100 : 625, epsilon: 0.5247688078266746, 보상 합:479
에피소드 2200 : 999, epsilon: 0.4991692893291036, 보상 합:807
에피소드 2300 : 936, epsilon: 0.47481857856845094, 보상 합:740
에피소드 2400 : 510, epsilon: 0.45165575561905763, 보상 합:371
에피소드 2500 : 481, epsilon: 0.4296228723796952, 보상 합:353
에피소드 2600 : 692, epsilon: 0.40866480760063095, 보상 합:547
에피소드 2700 : 672, epsilon: 0.38872912898283096, 보상 합:535
에피소드 2800 : 382, epsilon: 0.3697659620043022, 보상 합:272
에피소드 2900 : 803, epsilon: 0.351727865145413, 보상 합:670
에피소드 3000 : 999, epsilon: 0.33456971120102863, 보상 합:870
에피소드 3100 : 605, epsilon: 0.3182485743825335, 보상 합:490
에피소드 3200 : 566, epsilon: 0.3027236229272975, 보상 합:479
에피소드 3300 : 999, epsilon: 0.2879560169469154, 보상 합:914
에피소드 3400 : 713, epsilon: 0.27390881125866456, 보상 합:593
에피소드 3500 : 999, epsilon: 0.26054686295708057, 보상 합:894
에피소드 3600 : 424, epsilon: 0.24783674349442225, 보상 합:329
에피소드 3700 : 999, epsilon: 0.23574665505006714, 보상 합:878
에피소드 3800 : 999, epsilon: 0.22424635097961643, 보상 합:887
에피소드 3900 : 999, epsilon: 0.2133070601446863, 보상 합:889
에피소드 4000 : 431, epsilon: 0.20290141493408156, 보상 합:370
에피소드 4100 : 999, epsilon: 0.19300338279627216, 보상 합:922
에피소드 4200 : 666, epsilon: 0.18358820111188587, 보상 합:560
에피소드 4300 : 756, epsilon: 0.17463231524328113, 보상 합:672
에피소드 4400 : 999, epsilon: 0.16611331960621462, 보상 합:925
에피소드 4500 : 784, epsilon: 0.1580099016161789, 보상 합:713
에피소드 4600 : 999, epsilon: 0.15030178836917577, 보상 합:922
에피소드 4700 : 999, epsilon: 0.1429696959235333, 보상 합:950
에피소드 4800 : 999, epsilon: 0.135995281055881, 보상 합:935
에피소드 4900 : 716, epsilon: 0.1293610953705872, 보상 합:638
에피소드 5000 : 999, epsilon: 0.123050541647853, 보상 합:956
에피소드 5100 : 999, epsilon: 0.11704783232125221, 보상 합:939
에피소드 5200 : 512, epsilon: 0.1113379499808404, 보상 합:440
에피소드 5300 : 999, epsilon: 0.10590660980301952, 보상 합:948
에피소드 5400 : 476, epsilon: 0.10074022381316684, 보상 합:402
에피소드 5500 : 999, epsilon: 0.09582586689162056, 보상 합:930
에피소드 5600 : 999, epsilon: 0.09115124443797802, 보상 합:951
에피소드 5700 : 999, epsilon: 0.08670466161280879, 보상 합:933
에피소드 5800 : 679, epsilon: 0.08247499407983327, 보상 합:608
에피소드 5900 : 571, epsilon: 0.07845166017537016, 보상 합:472
에피소드 6000 : 999, epsilon: 0.0746245944354265, 보상 합:966
에피소드 6100 : 999, epsilon: 0.07098422241420221, 보상 합:963
에피소드 6200 : 999, epsilon: 0.06752143673100997, 보상 합:948
에피소드 6300 : 999, epsilon: 0.06422757428568535, 보상 합:984
에피소드 6400 : 999, epsilon: 0.061094394585485615, 보상 합:982
에피소드 6500 : 999, epsilon: 0.05811405912925629, 보상 합:973
에피소드 6600 : 999, epsilon: 0.05527911179728818, 보상 합:965
에피소드 6700 : 999, epsilon: 0.052582460197806366, 보상 합:996
