C:\ProgramData\Anaconda3\envs\tensorflow\python.exe C:/python/pythonProject8/agent.py
2021-05-03 16:45:30.787213: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'cudart64_110.dll'; dlerror: cudart64_110.dll not found
2021-05-03 16:45:30.787881: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
2021-05-03 16:45:39.642778: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-05-03 16:45:39.662099: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'nvcuda.dll'; dlerror: nvcuda.dll not found
2021-05-03 16:45:39.663123: W tensorflow/stream_executor/cuda/cuda_driver.cc:326] failed call to cuInit: UNKNOWN ERROR (303)
2021-05-03 16:45:39.688508: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:169] retrieving CUDA diagnostic information for host: LAPTOP-JDE9VFPB
2021-05-03 16:45:39.689239: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:176] hostname: LAPTOP-JDE9VFPB
2021-05-03 16:45:39.699068: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-05-03 16:45:39.701999: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
에피소드 0 : 562, epsilon: 1.5, 보상 합:352
에피소드 100 : 999, epsilon: 1.4268262953635011, 보상 합:637
에피소드 200 : 454, epsilon: 1.3572221847604897, 보상 합:266
에피소드 300 : 517, epsilon: 1.2910135345779783, 보상 합:327
에피소드 400 : 999, epsilon: 1.2280347058706922, 보상 합:636
에피소드 500 : 893, epsilon: 1.1681281399701908, 보상 합:582
에피소드 600 : 443, epsilon: 1.111143964309016, 보상 합:265
에피소드 700 : 990, epsilon: 1.056939617473699, 보상 합:654
에피소드 800 : 929, epsilon: 1.005379492548609, 보상 합:588
에피소드 900 : 999, epsilon: 0.9563345978583789, 보상 합:656
에피소드 1000 : 467, epsilon: 0.9096822342601434, 보상 합:296
에피소드 1100 : 612, epsilon: 0.8653056881782626, 보상 합:410
에피소드 1200 : 833, epsilon: 0.8230939396135708, 보상 합:572
에피소드 1300 : 999, epsilon: 0.7829413843966541, 보상 합:736
에피소드 1400 : 700, epsilon: 0.7447475699902992, 보상 합:499
에피소드 1500 : 718, epsilon: 0.7084169441801518, 보상 합:503
에피소드 1600 : 999, epsilon: 0.6738586160248651, 보상 합:736
에피소드 1700 : 818, epsilon: 0.6409861284676901, 보상 합:616
에피소드 1800 : 427, epsilon: 0.6097172420406319, 보상 합:299
에피소드 1900 : 999, epsilon: 0.5799737291200572, 보상 합:720
에피소드 2000 : 800, epsilon: 0.5516811782190176, 보상 합:614
에피소드 2100 : 903, epsilon: 0.5247688078266746, 보상 합:752
에피소드 2200 : 434, epsilon: 0.4991692893291036, 보상 합:326
에피소드 2300 : 891, epsilon: 0.47481857856845094, 보상 합:705
에피소드 2400 : 708, epsilon: 0.45165575561905763, 보상 합:567
에피소드 2500 : 999, epsilon: 0.4296228723796952, 보상 합:840
에피소드 2600 : 999, epsilon: 0.40866480760063095, 보상 합:837
에피소드 2700 : 999, epsilon: 0.38872912898283096, 보상 합:855
에피소드 2800 : 999, epsilon: 0.3697659620043022, 보상 합:863
에피소드 2900 : 633, epsilon: 0.351727865145413, 보상 합:503
에피소드 3000 : 999, epsilon: 0.33456971120102863, 보상 합:890
에피소드 3100 : 999, epsilon: 0.3182485743825335, 보상 합:866
에피소드 3200 : 999, epsilon: 0.3027236229272975, 보상 합:854
에피소드 3300 : 648, epsilon: 0.2879560169469154, 보상 합:523
에피소드 3400 : 999, epsilon: 0.27390881125866456, 보상 합:854
에피소드 3500 : 999, epsilon: 0.26054686295708057, 보상 합:882
에피소드 3600 : 371, epsilon: 0.24783674349442225, 보상 합:292
에피소드 3700 : 414, epsilon: 0.23574665505006714, 보상 합:323
에피소드 3800 : 999, epsilon: 0.22424635097961643, 보상 합:868
에피소드 3900 : 349, epsilon: 0.2133070601446863, 보상 합:272
에피소드 4000 : 999, epsilon: 0.20290141493408156, 보상 합:914
에피소드 4100 : 802, epsilon: 0.19300338279627216, 보상 합:685
에피소드 4200 : 307, epsilon: 0.18358820111188587, 보상 합:233
에피소드 4300 : 999, epsilon: 0.17463231524328113, 보상 합:836
에피소드 4400 : 748, epsilon: 0.16611331960621462, 보상 합:634
에피소드 4500 : 999, epsilon: 0.1580099016161789, 보상 합:843
에피소드 4600 : 644, epsilon: 0.15030178836917577, 보상 합:534
에피소드 4700 : 999, epsilon: 0.1429696959235333, 보상 합:928
에피소드 4800 : 594, epsilon: 0.135995281055881, 보상 합:508
에피소드 4900 : 995, epsilon: 0.1293610953705872, 보상 합:928
에피소드 5000 : 999, epsilon: 0.123050541647853, 보상 합:906
에피소드 5100 : 999, epsilon: 0.11704783232125221, 보상 합:903
에피소드 5200 : 999, epsilon: 0.1113379499808404, 보상 합:941
에피소드 5300 : 999, epsilon: 0.10590660980301952, 보상 합:942
에피소드 5400 : 156, epsilon: 0.10074022381316684, 보상 합:94
에피소드 5500 : 999, epsilon: 0.09582586689162056, 보상 합:916
에피소드 5600 : 999, epsilon: 0.09115124443797802, 보상 합:976
에피소드 5700 : 999, epsilon: 0.08670466161280879, 보상 합:904
에피소드 5800 : 228, epsilon: 0.08247499407983327, 보상 합:168
에피소드 5900 : 999, epsilon: 0.07845166017537016, 보상 합:919
에피소드 6000 : 906, epsilon: 0.0746245944354265, 보상 합:841
에피소드 6100 : 999, epsilon: 0.07098422241420221, 보상 합:991
에피소드 6200 : 999, epsilon: 0.06752143673100997, 보상 합:971
에피소드 6300 : 999, epsilon: 0.06422757428568535, 보상 합:952
에피소드 6400 : 601, epsilon: 0.061094394585485615, 보상 합:480
에피소드 6500 : 925, epsilon: 0.05811405912925629, 보상 합:828
에피소드 6600 : 999, epsilon: 0.05527911179728818, 보상 합:995
에피소드 6700 : 999, epsilon: 0.052582460197806366, 보상 합:964
에피소드 6800 : 970, epsilon: 0.05001735792342319, 보상 합:885
에피소드 6900 : 988, epsilon: 0.04757738767316547, 보상 합:908
에피소드 7000 : 999, epsilon: 0.04525644519785055, 보상 합:1000
에피소드 7100 : 999, epsilon: 0.04304872402864694, 보상 합:990
에피소드 7200 : 396, epsilon: 0.04094870095061335, 보상 합:313
에피소드 7300 : 999, epsilon: 0.038951122184874364, 보상 합:994
에피소드 7400 : 168, epsilon: 0.03705099024486357, 보상 합:107
에피소드 7500 : 623, epsilon: 0.03524355143375197, 보상 합:564
에피소드 7600 : 999, epsilon: 0.033524283951782224, 보상 합:961
에피소드 7700 : 999, epsilon: 0.03188888658375702, 보상 합:972
에피소드 7800 : 999, epsilon: 0.030333267938379253, 보상 합:981
에피소드 7900 : 999, epsilon: 0.03, 보상 합:961
에피소드 8000 : 999, epsilon: 0.03, 보상 합:1007
에피소드 8100 : 999, epsilon: 0.03, 보상 합:978
에피소드 8200 : 734, epsilon: 0.03, 보상 합:646
에피소드 8300 : 999, epsilon: 0.03, 보상 합:974
