C:\ProgramData\Anaconda3\envs\tensorflow\python.exe C:/python/pythonProject8/agent.py
2021-05-03 19:25:52.488683: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'cudart64_110.dll'; dlerror: cudart64_110.dll not found
2021-05-03 19:25:52.489554: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
2021-05-03 19:26:03.288861: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-05-03 19:26:03.293154: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'nvcuda.dll'; dlerror: nvcuda.dll not found
2021-05-03 19:26:03.293404: W tensorflow/stream_executor/cuda/cuda_driver.cc:326] failed call to cuInit: UNKNOWN ERROR (303)
2021-05-03 19:26:03.318985: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:169] retrieving CUDA diagnostic information for host: LAPTOP-JDE9VFPB
2021-05-03 19:26:03.319427: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:176] hostname: LAPTOP-JDE9VFPB
2021-05-03 19:26:03.320453: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-05-03 19:26:03.321346: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
에피소드 0 : 999, epsilon: 1.5, 보상 합:636
에피소드 100 : 999, epsilon: 1.4268262953635011, 보상 합:643
에피소드 200 : 975, epsilon: 1.3572221847604897, 보상 합:621
에피소드 300 : 693, epsilon: 1.2910135345779783, 보상 합:437
에피소드 400 : 600, epsilon: 1.2280347058706922, 보상 합:385
에피소드 500 : 725, epsilon: 1.1681281399701908, 보상 합:431
에피소드 600 : 603, epsilon: 1.111143964309016, 보상 합:382
에피소드 700 : 811, epsilon: 1.056939617473699, 보상 합:490
에피소드 800 : 461, epsilon: 1.005379492548609, 보상 합:300
에피소드 900 : 999, epsilon: 0.9563345978583789, 보상 합:652
에피소드 1000 : 465, epsilon: 0.9096822342601434, 보상 합:296
에피소드 1100 : 604, epsilon: 0.8653056881782626, 보상 합:411
에피소드 1200 : 873, epsilon: 0.8230939396135708, 보상 합:604
에피소드 1300 : 999, epsilon: 0.7829413843966541, 보상 합:718
에피소드 1400 : 999, epsilon: 0.7447475699902992, 보상 합:746
에피소드 1500 : 889, epsilon: 0.7084169441801518, 보상 합:652
에피소드 1600 : 999, epsilon: 0.6738586160248651, 보상 합:744
에피소드 1700 : 999, epsilon: 0.6409861284676901, 보상 합:780
에피소드 1800 : 551, epsilon: 0.6097172420406319, 보상 합:393
에피소드 1900 : 999, epsilon: 0.5799737291200572, 보상 합:791
에피소드 2000 : 941, epsilon: 0.5516811782190176, 보상 합:748
에피소드 2100 : 999, epsilon: 0.5247688078266746, 보상 합:801
에피소드 2200 : 545, epsilon: 0.4991692893291036, 보상 합:437
에피소드 2300 : 682, epsilon: 0.47481857856845094, 보상 합:538
에피소드 2400 : 687, epsilon: 0.45165575561905763, 보상 합:535
에피소드 2500 : 999, epsilon: 0.4296228723796952, 보상 합:826
에피소드 2600 : 999, epsilon: 0.40866480760063095, 보상 합:871
에피소드 2700 : 777, epsilon: 0.38872912898283096, 보상 합:629
에피소드 2800 : 999, epsilon: 0.3697659620043022, 보상 합:858
에피소드 2900 : 495, epsilon: 0.351727865145413, 보상 합:403
에피소드 3000 : 514, epsilon: 0.33456971120102863, 보상 합:424
에피소드 3100 : 474, epsilon: 0.3182485743825335, 보상 합:361
에피소드 3200 : 456, epsilon: 0.3027236229272975, 보상 합:381
에피소드 3300 : 999, epsilon: 0.2879560169469154, 보상 합:892
에피소드 3400 : 999, epsilon: 0.27390881125866456, 보상 합:891
에피소드 3500 : 999, epsilon: 0.26054686295708057, 보상 합:881
에피소드 3600 : 999, epsilon: 0.24783674349442225, 보상 합:911
에피소드 3700 : 999, epsilon: 0.23574665505006714, 보상 합:878
에피소드 3800 : 934, epsilon: 0.22424635097961643, 보상 합:858
에피소드 3900 : 999, epsilon: 0.2133070601446863, 보상 합:902
에피소드 4000 : 999, epsilon: 0.20290141493408156, 보상 합:903
에피소드 4100 : 999, epsilon: 0.19300338279627216, 보상 합:922
에피소드 4200 : 999, epsilon: 0.18358820111188587, 보상 합:928
에피소드 4300 : 999, epsilon: 0.17463231524328113, 보상 합:938
에피소드 4400 : 999, epsilon: 0.16611331960621462, 보상 합:914
에피소드 4500 : 999, epsilon: 0.1580099016161789, 보상 합:913
에피소드 4600 : 604, epsilon: 0.15030178836917577, 보상 합:512
에피소드 4700 : 999, epsilon: 0.1429696959235333, 보상 합:945
에피소드 4800 : 127, epsilon: 0.135995281055881, 보상 합:71
에피소드 4900 : 999, epsilon: 0.1293610953705872, 보상 합:931
에피소드 5000 : 999, epsilon: 0.123050541647853, 보상 합:964
에피소드 5100 : 999, epsilon: 0.11704783232125221, 보상 합:938
에피소드 5200 : 999, epsilon: 0.1113379499808404, 보상 합:957
에피소드 5300 : 999, epsilon: 0.10590660980301952, 보상 합:942
에피소드 5400 : 565, epsilon: 0.10074022381316684, 보상 합:484
에피소드 5500 : 999, epsilon: 0.09582586689162056, 보상 합:969
에피소드 5600 : 999, epsilon: 0.09115124443797802, 보상 합:946
에피소드 5700 : 125, epsilon: 0.08670466161280879, 보상 합:68
에피소드 5800 : 999, epsilon: 0.08247499407983327, 보상 합:982
에피소드 5900 : 999, epsilon: 0.07845166017537016, 보상 합:982
에피소드 6000 : 999, epsilon: 0.0746245944354265, 보상 합:990
에피소드 6100 : 999, epsilon: 0.07098422241420221, 보상 합:980
에피소드 6200 : 999, epsilon: 0.06752143673100997, 보상 합:988
에피소드 6300 : 999, epsilon: 0.06422757428568535, 보상 합:949
에피소드 6400 : 999, epsilon: 0.061094394585485615, 보상 합:1000
에피소드 6500 : 999, epsilon: 0.05811405912925629, 보상 합:968
에피소드 6600 : 999, epsilon: 0.05527911179728818, 보상 합:1002
에피소드 6700 : 999, epsilon: 0.052582460197806366, 보상 합:995
에피소드 6800 : 999, epsilon: 0.05001735792342319, 보상 합:1006
에피소드 6900 : 999, epsilon: 0.04757738767316547, 보상 합:996
에피소드 7000 : 130, epsilon: 0.04525644519785055, 보상 합:91
에피소드 7100 : 999, epsilon: 0.04304872402864694, 보상 합:1002
에피소드 7200 : 999, epsilon: 0.04094870095061335, 보상 합:985
에피소드 7300 : 999, epsilon: 0.038951122184874364, 보상 합:982
에피소드 7400 : 999, epsilon: 0.03705099024486357, 보상 합:999
에피소드 7500 : 999, epsilon: 0.03524355143375197, 보상 합:1016
에피소드 7600 : 999, epsilon: 0.033524283951782224, 보상 합:1000
에피소드 7700 : 999, epsilon: 0.03188888658375702, 보상 합:977
에피소드 7800 : 472, epsilon: 0.030333267938379253, 보상 합:422
에피소드 7900 : 999, epsilon: 0.03, 보상 합:969
에피소드 8000 : 184, epsilon: 0.03, 보상 합:144
에피소드 8100 : 999, epsilon: 0.03, 보상 합:975
에피소드 8200 : 999, epsilon: 0.03, 보상 합:999
에피소드 8300 : 999, epsilon: 0.03, 보상 합:981
에피소드 8400 : 999, epsilon: 0.03, 보상 합:1004
에피소드 8500 : 999, epsilon: 0.03, 보상 합:991
에피소드 8600 : 999, epsilon: 0.03, 보상 합:957
에피소드 8700 : 999, epsilon: 0.03, 보상 합:991
에피소드 8800 : 999, epsilon: 0.03, 보상 합:1008
에피소드 8900 : 999, epsilon: 0.03, 보상 합:1006
에피소드 9000 : 999, epsilon: 0.03, 보상 합:1012
에피소드 9100 : 999, epsilon: 0.03, 보상 합:987
에피소드 9200 : 418, epsilon: 0.03, 보상 합:337
에피소드 9300 : 999, epsilon: 0.03, 보상 합:988
에피소드 9400 : 999, epsilon: 0.03, 보상 합:1011
에피소드 9500 : 999, epsilon: 0.03, 보상 합:1013
에피소드 9600 : 999, epsilon: 0.03, 보상 합:999
에피소드 9700 : 999, epsilon: 0.03, 보상 합:1007
에피소드 9800 : 999, epsilon: 0.03, 보상 합:1014
에피소드 9900 : 934, epsilon: 0.03, 보상 합:847
에피소드 10000 : 999, epsilon: 0.03, 보상 합:945
에피소드 10100 : 999, epsilon: 0.03, 보상 합:993
에피소드 10200 : 999, epsilon: 0.03, 보상 합:1000
에피소드 10300 : 999, epsilon: 0.03, 보상 합:1012
에피소드 10400 : 999, epsilon: 0.03, 보상 합:994
에피소드 10500 : 999, epsilon: 0.03, 보상 합:1005
에피소드 10600 : 999, epsilon: 0.03, 보상 합:1021
에피소드 10700 : 999, epsilon: 0.03, 보상 합:1005
에피소드 10800 : 179, epsilon: 0.03, 보상 합:108
에피소드 10900 : 999, epsilon: 0.03, 보상 합:984
에피소드 11000 : 999, epsilon: 0.03, 보상 합:1005
에피소드 11100 : 999, epsilon: 0.03, 보상 합:996
에피소드 11200 : 999, epsilon: 0.03, 보상 합:1010
에피소드 11300 : 999, epsilon: 0.03, 보상 합:996
에피소드 11400 : 999, epsilon: 0.03, 보상 합:1005
에피소드 11500 : 999, epsilon: 0.03, 보상 합:999
에피소드 11600 : 999, epsilon: 0.03, 보상 합:1008
에피소드 11700 : 999, epsilon: 0.03, 보상 합:1008
에피소드 11800 : 999, epsilon: 0.03, 보상 합:957
에피소드 11900 : 296, epsilon: 0.03, 보상 합:221
에피소드 12000 : 999, epsilon: 0.03, 보상 합:984
에피소드 12100 : 999, epsilon: 0.03, 보상 합:983
에피소드 12200 : 968, epsilon: 0.03, 보상 합:879
에피소드 12300 : 999, epsilon: 0.03, 보상 합:998
에피소드 12400 : 999, epsilon: 0.03, 보상 합:1006
에피소드 12500 : 251, epsilon: 0.03, 보상 합:188
에피소드 12600 : 999, epsilon: 0.03, 보상 합:982
에피소드 12700 : 999, epsilon: 0.03, 보상 합:989
에피소드 12800 : 999, epsilon: 0.03, 보상 합:1012
에피소드 12900 : 999, epsilon: 0.03, 보상 합:1015
에피소드 13000 : 999, epsilon: 0.03, 보상 합:1002
에피소드 13100 : 999, epsilon: 0.03, 보상 합:1010
에피소드 13200 : 999, epsilon: 0.03, 보상 합:1006
에피소드 13300 : 999, epsilon: 0.03, 보상 합:1007
에피소드 13400 : 999, epsilon: 0.03, 보상 합:1013
에피소드 13500 : 999, epsilon: 0.03, 보상 합:1007
에피소드 13600 : 999, epsilon: 0.03, 보상 합:1015
에피소드 13700 : 999, epsilon: 0.03, 보상 합:958
에피소드 13800 : 512, epsilon: 0.03, 보상 합:437
에피소드 13900 : 999, epsilon: 0.03, 보상 합:990

Process finished with exit code 0
