C:\ProgramData\Anaconda3\envs\tensorflow\python.exe C:/python/pythonProject8/agent.py
2021-05-04 01:33:52.399950: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'cudart64_110.dll'; dlerror: cudart64_110.dll not found
2021-05-04 01:33:52.400228: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
2021-05-04 01:33:57.329440: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-05-04 01:33:57.333998: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'nvcuda.dll'; dlerror: nvcuda.dll not found
2021-05-04 01:33:57.334253: W tensorflow/stream_executor/cuda/cuda_driver.cc:326] failed call to cuInit: UNKNOWN ERROR (303)
2021-05-04 01:33:57.344372: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:169] retrieving CUDA diagnostic information for host: LAPTOP-JDE9VFPB
2021-05-04 01:33:57.344828: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:176] hostname: LAPTOP-JDE9VFPB
2021-05-04 01:33:57.345460: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-05-04 01:33:57.346357: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
에피소드 0 : 369, epsilon: 1.5, 보상 합:219
에피소드 100 : 854, epsilon: 1.4268262953635011, 보상 합:545
에피소드 200 : 752, epsilon: 1.3572221847604897, 보상 합:473
에피소드 300 : 726, epsilon: 1.2910135345779783, 보상 합:446
에피소드 400 : 889, epsilon: 1.2280347058706922, 보상 합:551
에피소드 500 : 467, epsilon: 1.1681281399701908, 보상 합:289
에피소드 600 : 423, epsilon: 1.111143964309016, 보상 합:249
에피소드 700 : 628, epsilon: 1.056939617473699, 보상 합:404
에피소드 800 : 999, epsilon: 1.005379492548609, 보상 합:663
에피소드 900 : 702, epsilon: 0.9563345978583789, 보상 합:444
에피소드 1000 : 896, epsilon: 0.9096822342601434, 보상 합:605
에피소드 1100 : 797, epsilon: 0.8653056881782626, 보상 합:543
에피소드 1200 : 777, epsilon: 0.8230939396135708, 보상 합:518
에피소드 1300 : 877, epsilon: 0.7829413843966541, 보상 합:618
에피소드 1400 : 888, epsilon: 0.7447475699902992, 보상 합:621
에피소드 1500 : 747, epsilon: 0.7084169441801518, 보상 합:541
에피소드 1600 : 560, epsilon: 0.6738586160248651, 보상 합:403
에피소드 1700 : 486, epsilon: 0.6409861284676901, 보상 합:357
에피소드 1800 : 555, epsilon: 0.6097172420406319, 보상 합:396
에피소드 1900 : 961, epsilon: 0.5799737291200572, 보상 합:720
에피소드 2000 : 887, epsilon: 0.5516811782190176, 보상 합:672
에피소드 2100 : 999, epsilon: 0.5247688078266746, 보상 합:740
에피소드 2200 : 771, epsilon: 0.4991692893291036, 보상 합:598
에피소드 2300 : 893, epsilon: 0.47481857856845094, 보상 합:718
에피소드 2400 : 431, epsilon: 0.45165575561905763, 보상 합:332
에피소드 2500 : 999, epsilon: 0.4296228723796952, 보상 합:859
에피소드 2600 : 999, epsilon: 0.40866480760063095, 보상 합:863
에피소드 2700 : 632, epsilon: 0.38872912898283096, 보상 합:497
에피소드 2800 : 439, epsilon: 0.3697659620043022, 보상 합:314
에피소드 2900 : 591, epsilon: 0.351727865145413, 보상 합:477
에피소드 3000 : 396, epsilon: 0.33456971120102863, 보상 합:326
에피소드 3100 : 999, epsilon: 0.3182485743825335, 보상 합:885
에피소드 3200 : 999, epsilon: 0.3027236229272975, 보상 합:894
에피소드 3300 : 800, epsilon: 0.2879560169469154, 보상 합:697
에피소드 3400 : 999, epsilon: 0.27390881125866456, 보상 합:891
에피소드 3500 : 447, epsilon: 0.26054686295708057, 보상 합:341
에피소드 3600 : 999, epsilon: 0.24783674349442225, 보상 합:864
에피소드 3700 : 286, epsilon: 0.23574665505006714, 보상 합:205
에피소드 3800 : 999, epsilon: 0.22424635097961643, 보상 합:867
에피소드 3900 : 999, epsilon: 0.2133070601446863, 보상 합:903
에피소드 4000 : 999, epsilon: 0.20290141493408156, 보상 합:873
에피소드 4100 : 999, epsilon: 0.19300338279627216, 보상 합:890
에피소드 4200 : 544, epsilon: 0.18358820111188587, 보상 합:446
에피소드 4300 : 338, epsilon: 0.17463231524328113, 보상 합:248
에피소드 4400 : 999, epsilon: 0.16611331960621462, 보상 합:904
에피소드 4500 : 999, epsilon: 0.1580099016161789, 보상 합:908
에피소드 4600 : 999, epsilon: 0.15030178836917577, 보상 합:925
에피소드 4700 : 406, epsilon: 0.1429696959235333, 보상 합:296
에피소드 4800 : 650, epsilon: 0.135995281055881, 보상 합:566
에피소드 4900 : 293, epsilon: 0.1293610953705872, 보상 합:242
에피소드 5000 : 629, epsilon: 0.123050541647853, 보상 합:553
에피소드 5100 : 999, epsilon: 0.11704783232125221, 보상 합:947
에피소드 5200 : 999, epsilon: 0.1113379499808404, 보상 합:928
에피소드 5300 : 999, epsilon: 0.10590660980301952, 보상 합:939
에피소드 5400 : 872, epsilon: 0.10074022381316684, 보상 합:764
에피소드 5500 : 999, epsilon: 0.09582586689162056, 보상 합:926
에피소드 5600 : 999, epsilon: 0.09115124443797802, 보상 합:948
에피소드 5700 : 999, epsilon: 0.08670466161280879, 보상 합:974
에피소드 5800 : 999, epsilon: 0.08247499407983327, 보상 합:970
