C:\ProgramData\Anaconda3\envs\tensorflow\python.exe C:/python/pythonProject8/agent.py
2021-05-02 21:28:25.240760: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'cudart64_110.dll'; dlerror: cudart64_110.dll not found
2021-05-02 21:28:25.242457: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
2021-05-02 21:28:38.192622: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-05-02 21:28:38.201110: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'nvcuda.dll'; dlerror: nvcuda.dll not found
2021-05-02 21:28:38.201773: W tensorflow/stream_executor/cuda/cuda_driver.cc:326] failed call to cuInit: UNKNOWN ERROR (303)
2021-05-02 21:28:38.222260: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:169] retrieving CUDA diagnostic information for host: LAPTOP-JDE9VFPB
2021-05-02 21:28:38.222911: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:176] hostname: LAPTOP-JDE9VFPB
2021-05-02 21:28:38.225183: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-05-02 21:28:38.226989: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
에피소드 0 : 569, epsilon: 1.5, 보상 합:334
에피소드 100 : 563, epsilon: 1.4268262953635011, 보상 합:327
에피소드 200 : 603, epsilon: 1.3572221847604897, 보상 합:383
에피소드 300 : 782, epsilon: 1.2910135345779783, 보상 합:504
에피소드 400 : 862, epsilon: 1.2280347058706922, 보상 합:537
에피소드 500 : 659, epsilon: 1.1681281399701908, 보상 합:402
에피소드 600 : 678, epsilon: 1.111143964309016, 보상 합:420
에피소드 700 : 608, epsilon: 1.056939617473699, 보상 합:360
에피소드 800 : 494, epsilon: 1.005379492548609, 보상 합:296
에피소드 900 : 788, epsilon: 0.9563345978583789, 보상 합:514
에피소드 1000 : 399, epsilon: 0.9096822342601434, 보상 합:244
에피소드 1100 : 374, epsilon: 0.8653056881782626, 보상 합:235
에피소드 1200 : 984, epsilon: 0.8230939396135708, 보상 합:691
에피소드 1300 : 876, epsilon: 0.7829413843966541, 보상 합:623
에피소드 1400 : 656, epsilon: 0.7447475699902992, 보상 합:460
에피소드 1500 : 366, epsilon: 0.7084169441801518, 보상 합:248
에피소드 1600 : 845, epsilon: 0.6738586160248651, 보상 합:630
에피소드 1700 : 999, epsilon: 0.6409861284676901, 보상 합:755
에피소드 1800 : 999, epsilon: 0.6097172420406319, 보상 합:790
에피소드 1900 : 717, epsilon: 0.5799737291200572, 보상 합:555
에피소드 2000 : 999, epsilon: 0.5516811782190176, 보상 합:828
에피소드 2100 : 764, epsilon: 0.5247688078266746, 보상 합:603
에피소드 2200 : 999, epsilon: 0.4991692893291036, 보상 합:809
에피소드 2300 : 999, epsilon: 0.47481857856845094, 보상 합:824
에피소드 2400 : 999, epsilon: 0.45165575561905763, 보상 합:818
에피소드 2500 : 999, epsilon: 0.4296228723796952, 보상 합:839
에피소드 2600 : 999, epsilon: 0.40866480760063095, 보상 합:864
에피소드 2700 : 999, epsilon: 0.38872912898283096, 보상 합:876
에피소드 2800 : 686, epsilon: 0.3697659620043022, 보상 합:558
에피소드 2900 : 939, epsilon: 0.351727865145413, 보상 합:766
에피소드 3000 : 999, epsilon: 0.33456971120102863, 보상 합:857
에피소드 3100 : 748, epsilon: 0.3182485743825335, 보상 합:617
에피소드 3200 : 884, epsilon: 0.3027236229272975, 보상 합:720
에피소드 3300 : 178, epsilon: 0.2879560169469154, 보상 합:114
에피소드 3400 : 999, epsilon: 0.27390881125866456, 보상 합:874
에피소드 3500 : 999, epsilon: 0.26054686295708057, 보상 합:887
에피소드 3600 : 483, epsilon: 0.24783674349442225, 보상 합:393
에피소드 3700 : 167, epsilon: 0.23574665505006714, 보상 합:106
에피소드 3800 : 999, epsilon: 0.22424635097961643, 보상 합:889
에피소드 3900 : 999, epsilon: 0.2133070601446863, 보상 합:885
에피소드 4000 : 999, epsilon: 0.20290141493408156, 보상 합:871
에피소드 4100 : 999, epsilon: 0.19300338279627216, 보상 합:926
에피소드 4200 : 999, epsilon: 0.18358820111188587, 보상 합:939
에피소드 4300 : 158, epsilon: 0.17463231524328113, 보상 합:82
에피소드 4400 : 999, epsilon: 0.16611331960621462, 보상 합:928
에피소드 4500 : 920, epsilon: 0.1580099016161789, 보상 합:821
에피소드 4600 : 999, epsilon: 0.15030178836917577, 보상 합:932
에피소드 4700 : 999, epsilon: 0.1429696959235333, 보상 합:940
에피소드 4800 : 620, epsilon: 0.135995281055881, 보상 합:533
에피소드 4900 : 999, epsilon: 0.1293610953705872, 보상 합:931
에피소드 5000 : 999, epsilon: 0.123050541647853, 보상 합:917
에피소드 5100 : 773, epsilon: 0.11704783232125221, 보상 합:682
에피소드 5200 : 999, epsilon: 0.1113379499808404, 보상 합:929
에피소드 5300 : 999, epsilon: 0.10590660980301952, 보상 합:951
에피소드 5400 : 782, epsilon: 0.10074022381316684, 보상 합:699
에피소드 5500 : 708, epsilon: 0.09582586689162056, 보상 합:628
에피소드 5600 : 143, epsilon: 0.09115124443797802, 보상 합:97
에피소드 5700 : 918, epsilon: 0.08670466161280879, 보상 합:823
