C:\ProgramData\Anaconda3\envs\tensorflow\python.exe C:/python/pythonProject8/agent.py
2021-05-05 01:17:14.169665: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'cudart64_110.dll'; dlerror: cudart64_110.dll not found
2021-05-05 01:17:14.169930: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
2021-05-05 01:17:19.534740: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-05-05 01:17:19.538576: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'nvcuda.dll'; dlerror: nvcuda.dll not found
2021-05-05 01:17:19.538823: W tensorflow/stream_executor/cuda/cuda_driver.cc:326] failed call to cuInit: UNKNOWN ERROR (303)
2021-05-05 01:17:19.546544: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:169] retrieving CUDA diagnostic information for host: LAPTOP-JDE9VFPB
2021-05-05 01:17:19.547022: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:176] hostname: LAPTOP-JDE9VFPB
2021-05-05 01:17:19.547878: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-05-05 01:17:19.549348: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
에피소드 0 : 207, epsilon: 1.5, 보상 합:110
에피소드 100 : 923, epsilon: 1.4268262953635011, 보상 합:572
에피소드 200 : 703, epsilon: 1.3572221847604897, 보상 합:434
에피소드 300 : 564, epsilon: 1.2910135345779783, 보상 합:356
에피소드 400 : 454, epsilon: 1.2280347058706922, 보상 합:275
에피소드 500 : 652, epsilon: 1.1681281399701908, 보상 합:411
에피소드 600 : 999, epsilon: 1.111143964309016, 보상 합:654
에피소드 700 : 895, epsilon: 1.056939617473699, 보상 합:549
에피소드 800 : 471, epsilon: 1.005379492548609, 보상 합:283
에피소드 900 : 374, epsilon: 0.9563345978583789, 보상 합:210
에피소드 1000 : 420, epsilon: 0.9096822342601434, 보상 합:267
에피소드 1100 : 885, epsilon: 0.8653056881782626, 보상 합:586
에피소드 1200 : 427, epsilon: 0.8230939396135708, 보상 합:270
에피소드 1300 : 956, epsilon: 0.7829413843966541, 보상 합:681
에피소드 1400 : 999, epsilon: 0.7447475699902992, 보상 합:746
에피소드 1500 : 555, epsilon: 0.7084169441801518, 보상 합:389
에피소드 1600 : 999, epsilon: 0.6738586160248651, 보상 합:722
에피소드 1700 : 895, epsilon: 0.6409861284676901, 보상 합:680
에피소드 1800 : 653, epsilon: 0.6097172420406319, 보상 합:484
에피소드 1900 : 957, epsilon: 0.5799737291200572, 보상 합:738
에피소드 2000 : 999, epsilon: 0.5516811782190176, 보상 합:794
에피소드 2100 : 663, epsilon: 0.5247688078266746, 보상 합:511
에피소드 2200 : 561, epsilon: 0.4991692893291036, 보상 합:427
에피소드 2300 : 996, epsilon: 0.47481857856845094, 보상 합:779
에피소드 2400 : 904, epsilon: 0.45165575561905763, 보상 합:739
