C:\ProgramData\Anaconda3\envs\tensorflow\python.exe C:/python/pythonProject8/agent.py
2021-05-02 23:09:08.620683: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'cudart64_110.dll'; dlerror: cudart64_110.dll not found
2021-05-02 23:09:08.620945: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
2021-05-02 23:09:13.789898: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-05-02 23:09:13.795055: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'nvcuda.dll'; dlerror: nvcuda.dll not found
2021-05-02 23:09:13.795390: W tensorflow/stream_executor/cuda/cuda_driver.cc:326] failed call to cuInit: UNKNOWN ERROR (303)
2021-05-02 23:09:13.806314: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:169] retrieving CUDA diagnostic information for host: LAPTOP-JDE9VFPB
2021-05-02 23:09:13.806765: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:176] hostname: LAPTOP-JDE9VFPB
2021-05-02 23:09:13.807402: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-05-02 23:09:13.808479: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
에피소드 0 : 596, epsilon: 1.5, 보상 합:338
에피소드 100 : 899, epsilon: 1.4268262953635011, 보상 합:560
에피소드 200 : 718, epsilon: 1.3572221847604897, 보상 합:428
에피소드 300 : 612, epsilon: 1.2910135345779783, 보상 합:382
에피소드 400 : 956, epsilon: 1.2280347058706922, 보상 합:600
에피소드 500 : 392, epsilon: 1.1681281399701908, 보상 합:220
에피소드 600 : 905, epsilon: 1.111143964309016, 보상 합:572
에피소드 700 : 671, epsilon: 1.056939617473699, 보상 합:399
에피소드 800 : 751, epsilon: 1.005379492548609, 보상 합:471
에피소드 900 : 802, epsilon: 0.9563345978583789, 보상 합:520
에피소드 1000 : 999, epsilon: 0.9096822342601434, 보상 합:686
에피소드 1100 : 940, epsilon: 0.8653056881782626, 보상 합:663
에피소드 1200 : 755, epsilon: 0.8230939396135708, 보상 합:513
에피소드 1300 : 490, epsilon: 0.7829413843966541, 보상 합:351
에피소드 1400 : 696, epsilon: 0.7447475699902992, 보상 합:482
에피소드 1500 : 500, epsilon: 0.7084169441801518, 보상 합:355
에피소드 1600 : 619, epsilon: 0.6738586160248651, 보상 합:427
에피소드 1700 : 545, epsilon: 0.6409861284676901, 보상 합:385
에피소드 1800 : 999, epsilon: 0.6097172420406319, 보상 합:764
에피소드 1900 : 557, epsilon: 0.5799737291200572, 보상 합:382
에피소드 2000 : 999, epsilon: 0.5516811782190176, 보상 합:801
에피소드 2100 : 479, epsilon: 0.5247688078266746, 보상 합:360
에피소드 2200 : 891, epsilon: 0.4991692893291036, 보상 합:725
에피소드 2300 : 274, epsilon: 0.47481857856845094, 보상 합:195
에피소드 2400 : 503, epsilon: 0.45165575561905763, 보상 합:376
에피소드 2500 : 755, epsilon: 0.4296228723796952, 보상 합:620
에피소드 2600 : 999, epsilon: 0.40866480760063095, 보상 합:822
에피소드 2700 : 999, epsilon: 0.38872912898283096, 보상 합:852
에피소드 2800 : 871, epsilon: 0.3697659620043022, 보상 합:733
에피소드 2900 : 682, epsilon: 0.351727865145413, 보상 합:546
에피소드 3000 : 737, epsilon: 0.33456971120102863, 보상 합:648
에피소드 3100 : 328, epsilon: 0.3182485743825335, 보상 합:239
에피소드 3200 : 654, epsilon: 0.3027236229272975, 보상 합:524
에피소드 3300 : 999, epsilon: 0.2879560169469154, 보상 합:859
에피소드 3400 : 630, epsilon: 0.27390881125866456, 보상 합:515
에피소드 3500 : 999, epsilon: 0.26054686295708057, 보상 합:859
에피소드 3600 : 673, epsilon: 0.24783674349442225, 보상 합:562
에피소드 3700 : 999, epsilon: 0.23574665505006714, 보상 합:884
에피소드 3800 : 291, epsilon: 0.22424635097961643, 보상 합:188
에피소드 3900 : 999, epsilon: 0.2133070601446863, 보상 합:895
에피소드 4000 : 999, epsilon: 0.20290141493408156, 보상 합:891
에피소드 4100 : 999, epsilon: 0.19300338279627216, 보상 합:877
에피소드 4200 : 999, epsilon: 0.18358820111188587, 보상 합:864
에피소드 4300 : 464, epsilon: 0.17463231524328113, 보상 합:376
에피소드 4400 : 999, epsilon: 0.16611331960621462, 보상 합:894
에피소드 4500 : 999, epsilon: 0.1580099016161789, 보상 합:928
에피소드 4600 : 463, epsilon: 0.15030178836917577, 보상 합:377
에피소드 4700 : 999, epsilon: 0.1429696959235333, 보상 합:927
에피소드 4800 : 612, epsilon: 0.135995281055881, 보상 합:513
에피소드 4900 : 536, epsilon: 0.1293610953705872, 보상 합:467
에피소드 5000 : 402, epsilon: 0.123050541647853, 보상 합:336
에피소드 5100 : 739, epsilon: 0.11704783232125221, 보상 합:647
에피소드 5200 : 140, epsilon: 0.1113379499808404, 보상 합:93
에피소드 5300 : 658, epsilon: 0.10590660980301952, 보상 합:564
에피소드 5400 : 999, epsilon: 0.10074022381316684, 보상 합:930
에피소드 5500 : 999, epsilon: 0.09582586689162056, 보상 합:929
에피소드 5600 : 999, epsilon: 0.09115124443797802, 보상 합:948
에피소드 5700 : 891, epsilon: 0.08670466161280879, 보상 합:795
에피소드 5800 : 320, epsilon: 0.08247499407983327, 보상 합:255
에피소드 5900 : 999, epsilon: 0.07845166017537016, 보상 합:983
에피소드 6000 : 999, epsilon: 0.0746245944354265, 보상 합:923
에피소드 6100 : 408, epsilon: 0.07098422241420221, 보상 합:319
에피소드 6200 : 999, epsilon: 0.06752143673100997, 보상 합:953
에피소드 6300 : 999, epsilon: 0.06422757428568535, 보상 합:954
에피소드 6400 : 496, epsilon: 0.061094394585485615, 보상 합:417
에피소드 6500 : 782, epsilon: 0.05811405912925629, 보상 합:695
에피소드 6600 : 999, epsilon: 0.05527911179728818, 보상 합:946
에피소드 6700 : 999, epsilon: 0.052582460197806366, 보상 합:964
에피소드 6800 : 999, epsilon: 0.05001735792342319, 보상 합:957
에피소드 6900 : 925, epsilon: 0.04757738767316547, 보상 합:830
에피소드 7000 : 656, epsilon: 0.04525644519785055, 보상 합:593
에피소드 7100 : 999, epsilon: 0.04304872402864694, 보상 합:979
에피소드 7200 : 999, epsilon: 0.04094870095061335, 보상 합:923
에피소드 7300 : 999, epsilon: 0.038951122184874364, 보상 합:982
에피소드 7400 : 999, epsilon: 0.03705099024486357, 보상 합:991
에피소드 7500 : 999, epsilon: 0.03524355143375197, 보상 합:973
에피소드 7600 : 465, epsilon: 0.033524283951782224, 보상 합:400
에피소드 7700 : 210, epsilon: 0.03188888658375702, 보상 합:164
에피소드 7800 : 999, epsilon: 0.030333267938379253, 보상 합:978
에피소드 7900 : 129, epsilon: 0.03, 보상 합:75
에피소드 8000 : 985, epsilon: 0.03, 보상 합:916
에피소드 8100 : 703, epsilon: 0.03, 보상 합:601
에피소드 8200 : 489, epsilon: 0.03, 보상 합:398
에피소드 8300 : 999, epsilon: 0.03, 보상 합:923
에피소드 8400 : 999, epsilon: 0.03, 보상 합:996
에피소드 8500 : 999, epsilon: 0.03, 보상 합:980
에피소드 8600 : 146, epsilon: 0.03, 보상 합:85
에피소드 8700 : 999, epsilon: 0.03, 보상 합:974
에피소드 8800 : 999, epsilon: 0.03, 보상 합:932
에피소드 8900 : 999, epsilon: 0.03, 보상 합:964
에피소드 9000 : 999, epsilon: 0.03, 보상 합:941
에피소드 9100 : 999, epsilon: 0.03, 보상 합:943
에피소드 9200 : 999, epsilon: 0.03, 보상 합:952
에피소드 9300 : 999, epsilon: 0.03, 보상 합:974
에피소드 9400 : 211, epsilon: 0.03, 보상 합:113
에피소드 9500 : 999, epsilon: 0.03, 보상 합:978
에피소드 9600 : 867, epsilon: 0.03, 보상 합:801
에피소드 9700 : 999, epsilon: 0.03, 보상 합:985
에피소드 9800 : 999, epsilon: 0.03, 보상 합:964
에피소드 9900 : 999, epsilon: 0.03, 보상 합:980
에피소드 10000 : 999, epsilon: 0.03, 보상 합:993
에피소드 10100 : 510, epsilon: 0.03, 보상 합:435
에피소드 10200 : 999, epsilon: 0.03, 보상 합:966
에피소드 10300 : 999, epsilon: 0.03, 보상 합:964
에피소드 10400 : 999, epsilon: 0.03, 보상 합:993
에피소드 10500 : 294, epsilon: 0.03, 보상 합:192
에피소드 10600 : 999, epsilon: 0.03, 보상 합:970
에피소드 10700 : 999, epsilon: 0.03, 보상 합:981
에피소드 10800 : 999, epsilon: 0.03, 보상 합:948
에피소드 10900 : 999, epsilon: 0.03, 보상 합:973

Process finished with exit code 0
