C:\ProgramData\Anaconda3\envs\tensorflow\python.exe C:/python/pythonProject14/agent.py
2021-05-15 17:33:37.255251: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'cudart64_110.dll'; dlerror: cudart64_110.dll not found
2021-05-15 17:33:37.257374: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
스테이지를 무작위로 생성합니다.
2021-05-15 17:33:50.792662: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-05-15 17:33:50.799964: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'nvcuda.dll'; dlerror: nvcuda.dll not found
2021-05-15 17:33:50.800785: W tensorflow/stream_executor/cuda/cuda_driver.cc:326] failed call to cuInit: UNKNOWN ERROR (303)
2021-05-15 17:33:50.828140: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:169] retrieving CUDA diagnostic information for host: LAPTOP-JDE9VFPB
2021-05-15 17:33:50.828735: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:176] hostname: LAPTOP-JDE9VFPB
2021-05-15 17:33:50.832465: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-05-15 17:33:50.835659: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
에피소드 11900 : 44, epsilon: 0.551554361162224, 보상 합:45
에피소드 12000 : 47, epsilon: 0.5488034037068446, 보상 합:48
에피소드 12100 : 130, epsilon: 0.5460661670511799, 보상 합:131
에피소드 12200 : 224, epsilon: 0.5433425827607494, 보상 합:225
에피소드 12300 : 125, epsilon: 0.5406325827423988, 보상 합:126
에피소드 12400 : 42, epsilon: 0.5379360992426001, 보상 합:43
에피소드 12500 : 87, epsilon: 0.5352530648457532, 보상 합:88
에피소드 12600 : 55, epsilon: 0.532583412472505, 보상 합:56
에피소드 12700 : 69, epsilon: 0.5299270753780697, 보상 합:70
에피소드 12800 : 48, epsilon: 0.5272839871505609, 보상 합:49
에피소드 12900 : 51, epsilon: 0.5246540817093323, 보상 합:52
에피소드 13000 : 56, epsilon: 0.5220372933033217, 보상 합:57
에피소드 13100 : 127, epsilon: 0.5194335565094124, 보상 합:128
에피소드 13200 : 46, epsilon: 0.5168428062307945, 보상 합:47
에피소드 13300 : 50, epsilon: 0.5142649776953369, 보상 합:51
에피소드 13400 : 46, epsilon: 0.5117000064539697, 보상 합:47
에피소드 13500 : 56, epsilon: 0.509147828379072, 보상 합:57
에피소드 13600 : 81, epsilon: 0.5066083796628685, 보상 합:82
에피소드 13700 : 61, epsilon: 0.5040815968158346, 보상 합:62
에피소드 13800 : 125, epsilon: 0.5015674166651087, 보상 합:126
에피소드 13900 : 174, epsilon: 0.49906577635291366, 보상 합:175
에피소드 14000 : 44, epsilon: 0.4965766133349839, 보상 합:45
에피소드 14100 : 43, epsilon: 0.49409986537900286, 보상 합:44
에피소드 14200 : 49, epsilon: 0.4916354705630462, 보상 합:50
에피소드 14300 : 57, epsilon: 0.4891833672740348, 보상 합:58
에피소드 14400 : 50, epsilon: 0.4867434942061931, 보상 합:51
에피소드 14500 : 202, epsilon: 0.484315790359518, 보상 합:203
에피소드 14600 : 102, epsilon: 0.48190019503825127, 보상 합:103
에피소드 14700 : 84, epsilon: 0.4794966478493652, 보상 합:85
에피소드 14800 : 73, epsilon: 0.47710508870105023, 보상 합:74
에피소드 14900 : 102, epsilon: 0.47472545780121317, 보상 합:103
에피소드 15000 : 98, epsilon: 0.47235769565598273, 보상 합:99
에피소드 15100 : 85, epsilon: 0.47000174306822196, 보상 합:86
에피소드 15200 : 45, epsilon: 0.46765754113604924, 보상 합:46
에피소드 15300 : 80, epsilon: 0.465325031251363, 보상 합:81
에피소드 15400 : 269, epsilon: 0.4630041550983792, 보상 합:270
에피소드 15500 : 95, epsilon: 0.4606948546521717, 보상 합:96
에피소드 15600 : 48, epsilon: 0.45839707217722225, 보상 합:49
에피소드 15700 : 97, epsilon: 0.45611075022597725, 보상 합:98
에피소드 15800 : 90, epsilon: 0.4538358316374106, 보상 합:91
에피소드 15900 : 48, epsilon: 0.4515722595355953, 보상 합:49
에피소드 16000 : 132, epsilon: 0.44931997732828144, 보상 합:133
에피소드 16100 : 57, epsilon: 0.44707892870548066, 보상 합:58
에피소드 16200 : 162, epsilon: 0.4448490576380597, 보상 합:163
에피소드 16300 : 140, epsilon: 0.442630308376338, 보상 합:141
에피소드 16400 : 47, epsilon: 0.44042262544869504, 보상 합:48
에피소드 16500 : 48, epsilon: 0.43822595366018263, 보상 합:49
에피소드 16600 : 164, epsilon: 0.43604023809114606, 보상 합:165
에피소드 16700 : 55, epsilon: 0.4338654240958497, 보상 합:56
에피소드 16800 : 132, epsilon: 0.43170145730111165, 보상 합:133
에피소드 16900 : 156, epsilon: 0.42954828360494435, 보상 합:157
에피소드 17000 : 53, epsilon: 0.42740584917520186, 보상 합:54
에피소드 17100 : 110, epsilon: 0.42527410044823377, 보상 합:111
에피소드 17200 : 57, epsilon: 0.4231529841275457, 보상 합:58
에피소드 17300 : 168, epsilon: 0.42104244718246764, 보상 합:169
에피소드 17400 : 121, epsilon: 0.4189424368468277, 보상 합:122
에피소드 17500 : 87, epsilon: 0.4168529006176333, 보상 합:88
에피소드 17600 : 53, epsilon: 0.41477378625375727, 보상 합:54
에피소드 17700 : 163, epsilon: 0.41270504177463385, 보상 합:164
에피소드 17800 : 477, epsilon: 0.41064661545895703, 보상 합:478
에피소드 17900 : 57, epsilon: 0.4085984558433882, 보상 합:58
에피소드 18000 : 211, epsilon: 0.4065605117212704, 보상 합:212
에피소드 18100 : 129, epsilon: 0.40453273214134666, 보상 합:130
에피소드 18200 : 44, epsilon: 0.4025150664064869, 보상 합:45
에피소드 18300 : 91, epsilon: 0.4005074640724207, 보상 합:92
에피소드 18400 : 52, epsilon: 0.39850987494647594, 보상 합:53
에피소드 18500 : 320, epsilon: 0.3965222490863226, 보상 합:321
에피소드 18600 : 46, epsilon: 0.3945445367987263, 보상 합:47
에피소드 18700 : 190, epsilon: 0.39257668863830464, 보상 합:191
에피소드 18800 : 88, epsilon: 0.3906186554062909, 보상 합:89
에피소드 18900 : 106, epsilon: 0.3886703881493051, 보상 합:107
에피소드 19000 : 63, epsilon: 0.3867318381581281, 보상 합:64
에피소드 19100 : 95, epsilon: 0.3848029569664867, 보상 합:96
에피소드 19200 : 89, epsilon: 0.3828836963498389, 보상 합:90
에피소드 19300 : 154, epsilon: 0.3809740083241701, 보상 합:155
에피소드 19400 : 144, epsilon: 0.37907384514479325, 보상 합:145
에피소드 19500 : 92, epsilon: 0.3771831593051544, 보상 합:93
에피소드 19600 : 130, epsilon: 0.3753019035356457, 보상 합:131
에피소드 19700 : 105, epsilon: 0.3734300308024232, 보상 합:106
에피소드 19800 : 87, epsilon: 0.3715674943062313, 보상 합:88
에피소드 19900 : 64, epsilon: 0.3697142474812321, 보상 합:65
에피소드 20000 : 55, epsilon: 0.36787024399384166, 보상 합:56
에피소드 20100 : 99, epsilon: 0.3660354377415719, 보상 합:100
에피소드 20200 : 55, epsilon: 0.36420978285187683, 보상 합:56
에피소드 20300 : 82, epsilon: 0.36239323368100745, 보상 합:83
에피소드 20400 : 98, epsilon: 0.3605857448128691, 보상 합:99
에피소드 20500 : 43, epsilon: 0.35878727105788627, 보상 합:44
에피소드 20600 : 69, epsilon: 0.35699776745187345, 보상 합:70
에피소드 20700 : 172, epsilon: 0.3552171892549099, 보상 합:173
에피소드 20800 : 90, epsilon: 0.3534454919502221, 보상 합:91
에피소드 20900 : 59, epsilon: 0.35168263124307086, 보상 합:60
에피소드 21000 : 49, epsilon: 0.3499285630596428, 보상 합:50
에피소드 21100 : 97, epsilon: 0.3481832435459493, 보상 합:98
에피소드 21200 : 100, epsilon: 0.34644662906672974, 보상 합:101
에피소드 21300 : 54, epsilon: 0.3447186762043608, 보상 합:55
에피소드 21400 : 156, epsilon: 0.34299934175777136, 보상 합:157
에피소드 21500 : 178, epsilon: 0.3412885827413604, 보상 합:179
에피소드 21600 : 93, epsilon: 0.3395863563839257, 보상 합:94
에피소드 21700 : 87, epsilon: 0.3378926201275918, 보상 합:88
에피소드 21800 : 196, epsilon: 0.3362073316267463, 보상 합:197
에피소드 21900 : 204, epsilon: 0.3345304487469827, 보상 합:205
에피소드 22000 : 205, epsilon: 0.3328619295640452, 보상 합:206
에피소드 22100 : 64, epsilon: 0.33120173236278144, 보상 합:65
에피소드 22200 : 77, epsilon: 0.32954981563610003, 보상 합:78
에피소드 22300 : 69, epsilon: 0.3279061380839315, 보상 합:70
에피소드 22400 : 100, epsilon: 0.32627065861219656, 보상 합:101
에피소드 22500 : 127, epsilon: 0.3246433363317789, 보상 합:128
에피소드 22600 : 54, epsilon: 0.3230241305575024, 보상 합:55
에피소드 22700 : 160, epsilon: 0.3214130008071144, 보상 합:161
에피소드 22800 : 125, epsilon: 0.31980990680027316, 보상 합:126
에피소드 22900 : 150, epsilon: 0.31821480845754124, 보상 합:151
에피소드 23000 : 147, epsilon: 0.3166276658993829, 보상 합:148
에피소드 23100 : 204, epsilon: 0.31504843944516747, 보상 합:205
에피소드 23200 : 63, epsilon: 0.31347708961217724, 보상 합:64
에피소드 23300 : 197, epsilon: 0.31191357711462, 보상 합:198
에피소드 23400 : 42, epsilon: 0.3103578628626476, 보상 합:43
에피소드 23500 : 50, epsilon: 0.30880990796137797, 보상 합:51
에피소드 23600 : 51, epsilon: 0.3072696737099231, 보상 합:52
에피소드 23700 : 51, epsilon: 0.305737121600421, 보상 합:52
에피소드 23800 : 267, epsilon: 0.3042122133170731, 보상 합:268
에피소드 23900 : 86, epsilon: 0.3026949107351868, 보상 합:87
에피소드 24000 : 100, epsilon: 0.30118517592022176, 보상 합:101
에피소드 24100 : 68, epsilon: 0.29968297112684195, 보상 합:69
에피소드 24200 : 43, epsilon: 0.29818825879797095, 보상 합:44
에피소드 24300 : 74, epsilon: 0.2967010015638547, 보상 합:75
에피소드 24400 : 54, epsilon: 0.29522116224112543, 보상 합:55
에피소드 24500 : 88, epsilon: 0.29374870383187335, 보상 합:89
에피소드 24600 : 71, epsilon: 0.2922835895227207, 보상 합:72
에피소드 24700 : 141, epsilon: 0.290825782683902, 보상 합:142
에피소드 24800 : 147, epsilon: 0.289375246868348, 보상 합:148
에피소드 24900 : 86, epsilon: 0.2879319458107743, 보상 합:87
에피소드 25000 : 101, epsilon: 0.28649584342677537, 보상 합:102
에피소드 25100 : 51, epsilon: 0.28506690381192157, 보상 합:52
에피소드 25200 : 46, epsilon: 0.2836450912408617, 보상 합:47
에피소드 25300 : 96, epsilon: 0.28223037016642977, 보상 합:97
에피소드 25400 : 95, epsilon: 0.28082270521875724, 보상 합:96
에피소드 25500 : 48, epsilon: 0.2794220612043875, 보상 합:49
에피소드 25600 : 184, epsilon: 0.2780284031053964, 보상 합:185
에피소드 25700 : 136, epsilon: 0.2766416960785159, 보상 합:137
에피소드 25800 : 56, epsilon: 0.2752619054542653, 보상 합:57
에피소드 25900 : 44, epsilon: 0.2738889967360826, 보상 합:45
에피소드 26000 : 122, epsilon: 0.27252293559946167, 보상 합:123
에피소드 26100 : 48, epsilon: 0.27116368789109524, 보상 합:49
에피소드 26200 : 52, epsilon: 0.26981121962802096, 보상 합:53
에피소드 26300 : 52, epsilon: 0.26846549699677064, 보상 합:53
에피소드 26400 : 177, epsilon: 0.26712648635252656, 보상 합:178
에피소드 26500 : 53, epsilon: 0.265794154218279, 보상 합:54
에피소드 26600 : 154, epsilon: 0.26446846728398965, 보상 합:155
에피소드 26700 : 106, epsilon: 0.2631493924057588, 보상 합:107
에피소드 26800 : 112, epsilon: 0.2618368966049968, 보상 합:113
에피소드 26900 : 150, epsilon: 0.2605309470675999, 보상 합:151
에피소드 27000 : 196, epsilon: 0.25923151114312915, 보상 합:197
에피소드 27100 : 63, epsilon: 0.25793855634399415, 보상 합:64
에피소드 27200 : 161, epsilon: 0.2566520503446413, 보상 합:162
에피소드 27300 : 88, epsilon: 0.25537196098074577, 보상 합:89
에피소드 27400 : 44, epsilon: 0.2540982562484062, 보상 합:45
에피소드 27500 : 128, epsilon: 0.2528309043033453, 보상 합:129
에피소드 27600 : 53, epsilon: 0.2515698734601153, 보상 합:54
에피소드 27700 : 150, epsilon: 0.2503151321913023, 보상 합:151
에피소드 27800 : 121, epsilon: 0.249066649126741, 보상 합:122
에피소드 27900 : 67, epsilon: 0.24782439305272885, 보상 합:68
에피소드 28000 : 134, epsilon: 0.24658833291124654, 보상 합:135
에피소드 28100 : 372, epsilon: 0.24535843779918098, 보상 합:373
에피소드 28200 : 58, epsilon: 0.244134676967553, 보상 합:59
에피소드 28300 : 46, epsilon: 0.24291701982074812, 보상 합:47
에피소드 28400 : 182, epsilon: 0.24170543591575214, 보상 합:183
에피소드 28500 : 62, epsilon: 0.24049989496138982, 보상 합:63
에피소드 28600 : 61, epsilon: 0.23930036681756747, 보상 합:62
에피소드 28700 : 150, epsilon: 0.23810682149451953, 보상 합:151
에피소드 28800 : 51, epsilon: 0.2369192291520587, 보상 합:52
에피소드 28900 : 119, epsilon: 0.2357375600988303, 보상 합:120
에피소드 29000 : 56, epsilon: 0.23456178479156892, 보상 합:57
에피소드 29100 : 92, epsilon: 0.23339187383436072, 보상 합:93
에피소드 29200 : 74, epsilon: 0.23222779797790877, 보상 합:75
에피소드 29300 : 98, epsilon: 0.23106952811880072, 보상 합:99
에피소드 29400 : 62, epsilon: 0.22991703529878194, 보상 합:63
에피소드 29500 : 81, epsilon: 0.22877029070403126, 보상 합:82
에피소드 29600 : 126, epsilon: 0.22762926566444044, 보상 합:127
에피소드 29700 : 304, epsilon: 0.22649393165289786, 보상 합:305
에피소드 29800 : 72, epsilon: 0.2253642602845747, 보상 합:73
에피소드 29900 : 43, epsilon: 0.2242402233162158, 보상 합:44
