C:\ProgramData\Anaconda3\envs\tensorflow\python.exe C:/python/pythonProject14/agent.py
2021-05-15 19:40:03.060657: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'cudart64_110.dll'; dlerror: cudart64_110.dll not found
2021-05-15 19:40:03.060920: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
스테이지를 무작위로 생성합니다.
2021-05-15 19:40:07.015765: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-05-15 19:40:07.019312: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'nvcuda.dll'; dlerror: nvcuda.dll not found
2021-05-15 19:40:07.019562: W tensorflow/stream_executor/cuda/cuda_driver.cc:326] failed call to cuInit: UNKNOWN ERROR (303)
2021-05-15 19:40:07.028511: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:169] retrieving CUDA diagnostic information for host: LAPTOP-JDE9VFPB
2021-05-15 19:40:07.028968: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:176] hostname: LAPTOP-JDE9VFPB
2021-05-15 19:40:07.029754: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-05-15 19:40:07.030764: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
에피소드 13200 : 90, epsilon: 0.5168428062307945, 보상 합:91
에피소드 13300 : 44, epsilon: 0.5142649776953369, 보상 합:45
에피소드 13400 : 43, epsilon: 0.5117000064539697, 보상 합:44
에피소드 13500 : 105, epsilon: 0.509147828379072, 보상 합:106
에피소드 13600 : 52, epsilon: 0.5066083796628685, 보상 합:53
에피소드 13700 : 141, epsilon: 0.5040815968158346, 보상 합:142
에피소드 13800 : 49, epsilon: 0.5015674166651087, 보상 합:50
에피소드 13900 : 132, epsilon: 0.49906577635291366, 보상 합:133
에피소드 14000 : 130, epsilon: 0.4965766133349839, 보상 합:131
에피소드 14100 : 44, epsilon: 0.49409986537900286, 보상 합:45
에피소드 14200 : 184, epsilon: 0.4916354705630462, 보상 합:185
에피소드 14300 : 129, epsilon: 0.4891833672740348, 보상 합:130
에피소드 14400 : 52, epsilon: 0.4867434942061931, 보상 합:53
에피소드 14500 : 86, epsilon: 0.484315790359518, 보상 합:87
에피소드 14600 : 362, epsilon: 0.48190019503825127, 보상 합:363
에피소드 14700 : 153, epsilon: 0.4794966478493652, 보상 합:154
에피소드 14800 : 45, epsilon: 0.47710508870105023, 보상 합:46
에피소드 14900 : 124, epsilon: 0.47472545780121317, 보상 합:125
에피소드 15000 : 59, epsilon: 0.47235769565598273, 보상 합:60
에피소드 15100 : 46, epsilon: 0.47000174306822196, 보상 합:47
에피소드 15200 : 94, epsilon: 0.46765754113604924, 보상 합:95
에피소드 15300 : 48, epsilon: 0.465325031251363, 보상 합:49
에피소드 15400 : 109, epsilon: 0.4630041550983792, 보상 합:110
에피소드 15500 : 83, epsilon: 0.4606948546521717, 보상 합:84
에피소드 15600 : 111, epsilon: 0.45839707217722225, 보상 합:112
에피소드 15700 : 93, epsilon: 0.45611075022597725, 보상 합:94
에피소드 15800 : 51, epsilon: 0.4538358316374106, 보상 합:52
에피소드 15900 : 70, epsilon: 0.4515722595355953, 보상 합:71
에피소드 16000 : 110, epsilon: 0.44931997732828144, 보상 합:111
에피소드 16100 : 491, epsilon: 0.44707892870548066, 보상 합:492
에피소드 16200 : 52, epsilon: 0.4448490576380597, 보상 합:53
에피소드 16300 : 134, epsilon: 0.442630308376338, 보상 합:135
에피소드 16400 : 95, epsilon: 0.44042262544869504, 보상 합:96
에피소드 16500 : 235, epsilon: 0.43822595366018263, 보상 합:236
에피소드 16600 : 50, epsilon: 0.43604023809114606, 보상 합:51
에피소드 16700 : 49, epsilon: 0.4338654240958497, 보상 합:50
에피소드 16800 : 53, epsilon: 0.43170145730111165, 보상 합:54
에피소드 16900 : 72, epsilon: 0.42954828360494435, 보상 합:73
에피소드 17000 : 99, epsilon: 0.42740584917520186, 보상 합:100
에피소드 17100 : 84, epsilon: 0.42527410044823377, 보상 합:85
에피소드 17200 : 80, epsilon: 0.4231529841275457, 보상 합:81
에피소드 17300 : 52, epsilon: 0.42104244718246764, 보상 합:53
에피소드 17400 : 50, epsilon: 0.4189424368468277, 보상 합:51
에피소드 17500 : 42, epsilon: 0.4168529006176333, 보상 합:43
에피소드 17600 : 52, epsilon: 0.41477378625375727, 보상 합:53
에피소드 17700 : 56, epsilon: 0.41270504177463385, 보상 합:57
에피소드 17800 : 87, epsilon: 0.41064661545895703, 보상 합:88
에피소드 17900 : 62, epsilon: 0.4085984558433882, 보상 합:63
에피소드 18000 : 93, epsilon: 0.4065605117212704, 보상 합:94
에피소드 18100 : 88, epsilon: 0.40453273214134666, 보상 합:89
에피소드 18200 : 217, epsilon: 0.4025150664064869, 보상 합:218
에피소드 18300 : 88, epsilon: 0.4005074640724207, 보상 합:89
에피소드 18400 : 54, epsilon: 0.39850987494647594, 보상 합:55
에피소드 18500 : 56, epsilon: 0.3965222490863226, 보상 합:57
에피소드 18600 : 44, epsilon: 0.3945445367987263, 보상 합:45
에피소드 18700 : 49, epsilon: 0.39257668863830464, 보상 합:50
에피소드 18800 : 131, epsilon: 0.3906186554062909, 보상 합:132
에피소드 18900 : 45, epsilon: 0.3886703881493051, 보상 합:46
에피소드 19000 : 120, epsilon: 0.3867318381581281, 보상 합:121
에피소드 19100 : 63, epsilon: 0.3848029569664867, 보상 합:64
에피소드 19200 : 46, epsilon: 0.3828836963498389, 보상 합:47
에피소드 19300 : 64, epsilon: 0.3809740083241701, 보상 합:65
에피소드 19400 : 146, epsilon: 0.37907384514479325, 보상 합:147
에피소드 19500 : 127, epsilon: 0.3771831593051544, 보상 합:128
에피소드 19600 : 55, epsilon: 0.3753019035356457, 보상 합:56
에피소드 19700 : 57, epsilon: 0.3734300308024232, 보상 합:58
에피소드 19800 : 167, epsilon: 0.3715674943062313, 보상 합:168
에피소드 19900 : 63, epsilon: 0.3697142474812321, 보상 합:64
에피소드 20000 : 89, epsilon: 0.36787024399384166, 보상 합:90
에피소드 20100 : 46, epsilon: 0.3660354377415719, 보상 합:47
에피소드 20200 : 60, epsilon: 0.36420978285187683, 보상 합:61
에피소드 20300 : 203, epsilon: 0.36239323368100745, 보상 합:204
에피소드 20400 : 48, epsilon: 0.3605857448128691, 보상 합:49
에피소드 20500 : 53, epsilon: 0.35878727105788627, 보상 합:54
에피소드 20600 : 102, epsilon: 0.35699776745187345, 보상 합:103
에피소드 20700 : 76, epsilon: 0.3552171892549099, 보상 합:77
에피소드 20800 : 59, epsilon: 0.3534454919502221, 보상 합:60
에피소드 20900 : 71, epsilon: 0.35168263124307086, 보상 합:72
에피소드 21000 : 61, epsilon: 0.3499285630596428, 보상 합:62
에피소드 21100 : 99, epsilon: 0.3481832435459493, 보상 합:100
에피소드 21200 : 59, epsilon: 0.34644662906672974, 보상 합:60
에피소드 21300 : 61, epsilon: 0.3447186762043608, 보상 합:62
에피소드 21400 : 47, epsilon: 0.34299934175777136, 보상 합:48
에피소드 21500 : 87, epsilon: 0.3412885827413604, 보상 합:88
에피소드 21600 : 50, epsilon: 0.3395863563839257, 보상 합:51
에피소드 21700 : 205, epsilon: 0.3378926201275918, 보상 합:206
에피소드 21800 : 47, epsilon: 0.3362073316267463, 보상 합:48
에피소드 21900 : 97, epsilon: 0.3345304487469827, 보상 합:98
에피소드 22000 : 46, epsilon: 0.3328619295640452, 보상 합:47
에피소드 22100 : 69, epsilon: 0.33120173236278144, 보상 합:70
에피소드 22200 : 68, epsilon: 0.32954981563610003, 보상 합:69
에피소드 22300 : 63, epsilon: 0.3279061380839315, 보상 합:64
에피소드 22400 : 139, epsilon: 0.32627065861219656, 보상 합:140
에피소드 22500 : 99, epsilon: 0.3246433363317789, 보상 합:100
에피소드 22600 : 221, epsilon: 0.3230241305575024, 보상 합:222
에피소드 22700 : 57, epsilon: 0.3214130008071144, 보상 합:58
에피소드 22800 : 118, epsilon: 0.31980990680027316, 보상 합:119
에피소드 22900 : 132, epsilon: 0.31821480845754124, 보상 합:133
에피소드 23000 : 121, epsilon: 0.3166276658993829, 보상 합:122
에피소드 23100 : 95, epsilon: 0.31504843944516747, 보상 합:96
에피소드 23200 : 48, epsilon: 0.31347708961217724, 보상 합:49
에피소드 23300 : 158, epsilon: 0.31191357711462, 보상 합:159
에피소드 23400 : 264, epsilon: 0.3103578628626476, 보상 합:265
에피소드 23500 : 66, epsilon: 0.30880990796137797, 보상 합:67
에피소드 23600 : 49, epsilon: 0.3072696737099231, 보상 합:50
에피소드 23700 : 114, epsilon: 0.305737121600421, 보상 합:115
에피소드 23800 : 140, epsilon: 0.3042122133170731, 보상 합:141
에피소드 23900 : 198, epsilon: 0.3026949107351868, 보상 합:199
에피소드 24000 : 51, epsilon: 0.30118517592022176, 보상 합:52
에피소드 24100 : 176, epsilon: 0.29968297112684195, 보상 합:177
에피소드 24200 : 55, epsilon: 0.29818825879797095, 보상 합:56
에피소드 24300 : 187, epsilon: 0.2967010015638547, 보상 합:188
에피소드 24400 : 69, epsilon: 0.29522116224112543, 보상 합:70
에피소드 24500 : 59, epsilon: 0.29374870383187335, 보상 합:60
에피소드 24600 : 195, epsilon: 0.2922835895227207, 보상 합:196
에피소드 24700 : 151, epsilon: 0.290825782683902, 보상 합:152
에피소드 24800 : 99, epsilon: 0.289375246868348, 보상 합:100
에피소드 24900 : 46, epsilon: 0.2879319458107743, 보상 합:47
에피소드 25000 : 172, epsilon: 0.28649584342677537, 보상 합:173
에피소드 25100 : 139, epsilon: 0.28506690381192157, 보상 합:140
에피소드 25200 : 369, epsilon: 0.2836450912408617, 보상 합:370
에피소드 25300 : 62, epsilon: 0.28223037016642977, 보상 합:63
에피소드 25400 : 89, epsilon: 0.28082270521875724, 보상 합:90
에피소드 25500 : 225, epsilon: 0.2794220612043875, 보상 합:226
에피소드 25600 : 54, epsilon: 0.2780284031053964, 보상 합:55
에피소드 25700 : 42, epsilon: 0.2766416960785159, 보상 합:43
에피소드 25800 : 131, epsilon: 0.2752619054542653, 보상 합:132
에피소드 25900 : 91, epsilon: 0.2738889967360826, 보상 합:92
에피소드 26000 : 145, epsilon: 0.27252293559946167, 보상 합:146
에피소드 26100 : 283, epsilon: 0.27116368789109524, 보상 합:284
에피소드 26200 : 148, epsilon: 0.26981121962802096, 보상 합:149
에피소드 26300 : 120, epsilon: 0.26846549699677064, 보상 합:121
에피소드 26400 : 82, epsilon: 0.26712648635252656, 보상 합:83
에피소드 26500 : 51, epsilon: 0.265794154218279, 보상 합:52
에피소드 26600 : 193, epsilon: 0.26446846728398965, 보상 합:194
에피소드 26700 : 146, epsilon: 0.2631493924057588, 보상 합:147
에피소드 26800 : 109, epsilon: 0.2618368966049968, 보상 합:110
에피소드 26900 : 101, epsilon: 0.2605309470675999, 보상 합:102
에피소드 27000 : 42, epsilon: 0.25923151114312915, 보상 합:43
에피소드 27100 : 94, epsilon: 0.25793855634399415, 보상 합:95
에피소드 27200 : 44, epsilon: 0.2566520503446413, 보상 합:45
에피소드 27300 : 47, epsilon: 0.25537196098074577, 보상 합:48
에피소드 27400 : 54, epsilon: 0.2540982562484062, 보상 합:55
에피소드 27500 : 156, epsilon: 0.2528309043033453, 보상 합:157
에피소드 27600 : 53, epsilon: 0.2515698734601153, 보상 합:54
에피소드 27700 : 43, epsilon: 0.2503151321913023, 보상 합:44
에피소드 27800 : 96, epsilon: 0.249066649126741, 보상 합:97
에피소드 27900 : 102, epsilon: 0.24782439305272885, 보상 합:103
에피소드 28000 : 47, epsilon: 0.24658833291124654, 보상 합:48
에피소드 28100 : 67, epsilon: 0.24535843779918098, 보상 합:68
에피소드 28200 : 257, epsilon: 0.244134676967553, 보상 합:258
에피소드 28300 : 49, epsilon: 0.24291701982074812, 보상 합:50
에피소드 28400 : 50, epsilon: 0.24170543591575214, 보상 합:51
에피소드 28500 : 58, epsilon: 0.24049989496138982, 보상 합:59
에피소드 28600 : 230, epsilon: 0.23930036681756747, 보상 합:231
