C:\ProgramData\Anaconda3\envs\tensorflow\python.exe C:/python/pythonProject14/agent.py
2021-05-15 20:44:31.721699: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'cudart64_110.dll'; dlerror: cudart64_110.dll not found
2021-05-15 20:44:31.722068: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
스테이지를 무작위로 생성합니다.
2021-05-15 20:44:45.729384: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-05-15 20:44:45.733141: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'nvcuda.dll'; dlerror: nvcuda.dll not found
2021-05-15 20:44:45.733386: W tensorflow/stream_executor/cuda/cuda_driver.cc:326] failed call to cuInit: UNKNOWN ERROR (303)
2021-05-15 20:44:45.750633: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:169] retrieving CUDA diagnostic information for host: LAPTOP-JDE9VFPB
2021-05-15 20:44:45.751119: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:176] hostname: LAPTOP-JDE9VFPB
2021-05-15 20:44:45.751816: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-05-15 20:44:45.752665: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
에피소드 0 : 89, epsilon: 1.0, 보상 합:90
에피소드 100 : 127, epsilon: 0.9950123548119847, 보상 합:128
에피소드 200 : 86, epsilon: 0.9900495862284902, 보상 합:87
에피소드 300 : 85, epsilon: 0.9851115701738412, 보상 합:86
에피소드 400 : 50, epsilon: 0.9801981831912049, 보상 합:51
에피소드 500 : 155, epsilon: 0.9753093024395098, 보상 합:156
에피소드 600 : 84, epsilon: 0.9704448056903707, 보상 합:85
에피소드 700 : 42, epsilon: 0.9656045713250346, 보상 합:43
에피소드 800 : 40, epsilon: 0.9607884783313398, 보상 합:41
에피소드 900 : 75, epsilon: 0.9559964063006904, 보상 합:76
에피소드 1000 : 107, epsilon: 0.9512282354250445, 보상 합:108
에피소드 1100 : 52, epsilon: 0.9464838464939228, 보상 합:53
에피소드 1200 : 96, epsilon: 0.9417631208914232, 보상 합:97
에피소드 1300 : 79, epsilon: 0.9370659405932589, 보상 합:80
에피소드 1400 : 81, epsilon: 0.9323921881638054, 보상 합:82
에피소드 1500 : 49, epsilon: 0.9277417467531668, 보상 합:50
에피소드 1600 : 155, epsilon: 0.9231145000942527, 보상 합:156
에피소드 1700 : 86, epsilon: 0.9185103324998704, 보상 합:87
에피소드 1800 : 42, epsilon: 0.9139291288598353, 보상 합:43
에피소드 1900 : 43, epsilon: 0.9093707746380905, 보상 합:44
에피소드 2000 : 52, epsilon: 0.9048351558698455, 보상 합:53
에피소드 2100 : 150, epsilon: 0.9003221591587243, 보상 합:151
에피소드 2200 : 81, epsilon: 0.8958316716739327, 보상 합:82
