C:\ProgramData\Anaconda3\envs\tensorflow\python.exe C:/python/pythonProject8/agent.py
2021-05-11 00:52:38.601943: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'cudart64_110.dll'; dlerror: cudart64_110.dll not found
2021-05-11 00:52:38.604548: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
2021-05-11 00:52:51.686963: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-05-11 00:52:51.691564: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'nvcuda.dll'; dlerror: nvcuda.dll not found
2021-05-11 00:52:51.691816: W tensorflow/stream_executor/cuda/cuda_driver.cc:326] failed call to cuInit: UNKNOWN ERROR (303)
2021-05-11 00:52:51.705891: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:169] retrieving CUDA diagnostic information for host: LAPTOP-JDE9VFPB
2021-05-11 00:52:51.706542: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:176] hostname: LAPTOP-JDE9VFPB
2021-05-11 00:52:51.707182: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-05-11 00:52:51.708114: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
에피소드 0 : 580, epsilon: 1.0, 보상 합:355
에피소드 100 : 706, epsilon: 0.951217530242334, 보상 합:433
에피소드 200 : 999, epsilon: 0.9048147898403269, 보상 합:656
에피소드 300 : 535, epsilon: 0.8606756897186528, 보상 합:336
에피소드 400 : 446, epsilon: 0.8186898039137951, 보상 합:300
에피소드 500 : 729, epsilon: 0.7787520933134615, 보상 합:508
에피소드 600 : 303, epsilon: 0.7407626428726788, 보상 합:192
에피소드 700 : 999, epsilon: 0.7046264116491338, 보상 합:736
에피소드 800 : 999, epsilon: 0.6702529950324074, 보상 합:750
에피소드 900 : 999, epsilon: 0.637556398572254, 보상 합:769
에피소드 1000 : 869, epsilon: 0.606454822840097, 보상 합:663
에피소드 1100 : 744, epsilon: 0.5768704587855094, 보상 합:558
에피소드 1200 : 999, epsilon: 0.548729293075715, 보상 합:792
에피소드 1300 : 248, epsilon: 0.5219609229311034, 보상 합:159
에피소드 1400 : 999, epsilon: 0.49649837999353363, 보상 합:848
에피소드 1500 : 999, epsilon: 0.4722779627867691, 보상 합:815
에피소드 1600 : 999, epsilon: 0.44923907734991153, 보상 합:816
에피소드 1700 : 146, epsilon: 0.4273240856451275, 보상 합:64
에피소드 1800 : 999, epsilon: 0.406478161360422, 보상 합:859
에피소드 1900 : 999, epsilon: 0.3866491527467055, 보상 합:810
에피소드 2000 : 709, epsilon: 0.3677874521460121, 보상 합:558
에피소드 2100 : 999, epsilon: 0.34984587188445015, 보상 합:813
에피소드 2200 : 918, epsilon: 0.3327795262194029, 보상 합:755
에피소드 2300 : 999, epsilon: 0.31654571904563433, 보상 합:843
에피소드 2400 : 999, epsilon: 0.3011038370793723, 보상 합:853
에피소드 2500 : 515, epsilon: 0.28641524825313086, 보상 합:404
에피소드 2600 : 587, epsilon: 0.27244320506708813, 보상 합:477
에피소드 2700 : 999, epsilon: 0.25915275265522114, 보상 합:906
에피소드 2800 : 777, epsilon: 0.24651064133620196, 보상 합:675
에피소드 2900 : 999, epsilon: 0.23448524343027585, 보상 합:910
에피소드 3000 : 826, epsilon: 0.22304647413401948, 보상 합:721
에피소드 3100 : 820, epsilon: 0.21216571625502262, 보상 합:684
에피소드 3200 : 832, epsilon: 0.2018157486181985, 보상 합:711
에피소드 3300 : 447, epsilon: 0.1919706779646106, 보상 합:350
