C:\ProgramData\Anaconda3\envs\tensorflow\python.exe C:/python/pythonProject8/agent.py
2021-05-11 04:56:38.016570: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'cudart64_110.dll'; dlerror: cudart64_110.dll not found
2021-05-11 04:56:38.018355: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
2021-05-11 04:56:45.142624: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-05-11 04:56:45.147823: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'nvcuda.dll'; dlerror: nvcuda.dll not found
2021-05-11 04:56:45.148644: W tensorflow/stream_executor/cuda/cuda_driver.cc:326] failed call to cuInit: UNKNOWN ERROR (303)
2021-05-11 04:56:45.167455: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:169] retrieving CUDA diagnostic information for host: LAPTOP-JDE9VFPB
2021-05-11 04:56:45.167950: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:176] hostname: LAPTOP-JDE9VFPB
2021-05-11 04:56:45.171551: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-05-11 04:56:45.174393: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
에피소드 0 : 911, epsilon: 1.0, 보상 합:578
에피소드 100 : 595, epsilon: 0.951217530242334, 보상 합:387
에피소드 200 : 410, epsilon: 0.9048147898403269, 보상 합:246
에피소드 300 : 999, epsilon: 0.8606756897186528, 보상 합:691
에피소드 400 : 836, epsilon: 0.8186898039137951, 보상 합:583
에피소드 500 : 495, epsilon: 0.7787520933134615, 보상 합:331
에피소드 600 : 650, epsilon: 0.7407626428726788, 보상 합:458
에피소드 700 : 999, epsilon: 0.7046264116491338, 보상 합:707
에피소드 800 : 769, epsilon: 0.6702529950324074, 보상 합:569
에피소드 900 : 999, epsilon: 0.637556398572254, 보상 합:752
에피소드 1000 : 999, epsilon: 0.606454822840097, 보상 합:784
에피소드 1100 : 789, epsilon: 0.5768704587855094, 보상 합:548
에피소드 1200 : 999, epsilon: 0.548729293075715, 보상 합:748
에피소드 1300 : 780, epsilon: 0.5219609229311034, 보상 합:595
에피소드 1400 : 999, epsilon: 0.49649837999353363, 보상 합:753
에피소드 1500 : 577, epsilon: 0.4722779627867691, 보상 합:453
에피소드 1600 : 655, epsilon: 0.44923907734991153, 보상 합:511
에피소드 1700 : 323, epsilon: 0.4273240856451275, 보상 합:221
에피소드 1800 : 999, epsilon: 0.406478161360422, 보상 합:824
에피소드 1900 : 974, epsilon: 0.3866491527467055, 보상 합:807
에피소드 2000 : 711, epsilon: 0.3677874521460121, 보상 합:576
에피소드 2100 : 543, epsilon: 0.34984587188445015, 보상 합:406
