C:\ProgramData\Anaconda3\envs\tensorflow\python.exe C:/python/pythonProject8/agent.py
2021-05-04 20:07:41.800200: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'cudart64_110.dll'; dlerror: cudart64_110.dll not found
2021-05-04 20:07:41.800497: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
2021-05-04 20:07:46.448917: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-05-04 20:07:46.452615: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'nvcuda.dll'; dlerror: nvcuda.dll not found
2021-05-04 20:07:46.452865: W tensorflow/stream_executor/cuda/cuda_driver.cc:326] failed call to cuInit: UNKNOWN ERROR (303)
2021-05-04 20:07:46.463173: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:169] retrieving CUDA diagnostic information for host: LAPTOP-JDE9VFPB
2021-05-04 20:07:46.463676: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:176] hostname: LAPTOP-JDE9VFPB
2021-05-04 20:07:46.464314: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-05-04 20:07:46.465274: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
에피소드 0 : 608, epsilon: 1.5, 보상 합:371
에피소드 100 : 277, epsilon: 1.4268262953635011, 보상 합:143
에피소드 200 : 547, epsilon: 1.3572221847604897, 보상 합:302
에피소드 300 : 529, epsilon: 1.2910135345779783, 보상 합:309
에피소드 400 : 663, epsilon: 1.2280347058706922, 보상 합:421
에피소드 500 : 893, epsilon: 1.1681281399701908, 보상 합:563
에피소드 600 : 816, epsilon: 1.111143964309016, 보상 합:522
에피소드 700 : 484, epsilon: 1.056939617473699, 보상 합:303
에피소드 800 : 708, epsilon: 1.005379492548609, 보상 합:463
에피소드 900 : 684, epsilon: 0.9563345978583789, 보상 합:422
에피소드 1000 : 894, epsilon: 0.9096822342601434, 보상 합:606
에피소드 1100 : 590, epsilon: 0.8653056881782626, 보상 합:370
에피소드 1200 : 691, epsilon: 0.8230939396135708, 보상 합:472
에피소드 1300 : 999, epsilon: 0.7829413843966541, 보상 합:705
에피소드 1400 : 653, epsilon: 0.7447475699902992, 보상 합:444
에피소드 1500 : 644, epsilon: 0.7084169441801518, 보상 합:445
에피소드 1600 : 535, epsilon: 0.6738586160248651, 보상 합:375
에피소드 1700 : 603, epsilon: 0.6409861284676901, 보상 합:438
에피소드 1800 : 729, epsilon: 0.6097172420406319, 보상 합:532
에피소드 1900 : 779, epsilon: 0.5799737291200572, 보상 합:597
에피소드 2000 : 999, epsilon: 0.5516811782190176, 보상 합:767
에피소드 2100 : 546, epsilon: 0.5247688078266746, 보상 합:404
에피소드 2200 : 398, epsilon: 0.4991692893291036, 보상 합:293
에피소드 2300 : 433, epsilon: 0.47481857856845094, 보상 합:318
에피소드 2400 : 141, epsilon: 0.45165575561905763, 보상 합:76
에피소드 2500 : 309, epsilon: 0.4296228723796952, 보상 합:221
에피소드 2600 : 561, epsilon: 0.40866480760063095, 보상 합:439
에피소드 2700 : 656, epsilon: 0.38872912898283096, 보상 합:522
에피소드 2800 : 999, epsilon: 0.3697659620043022, 보상 합:846
에피소드 2900 : 874, epsilon: 0.351727865145413, 보상 합:707
에피소드 3000 : 787, epsilon: 0.33456971120102863, 보상 합:645
에피소드 3100 : 425, epsilon: 0.3182485743825335, 보상 합:309
에피소드 3200 : 801, epsilon: 0.3027236229272975, 보상 합:654
에피소드 3300 : 999, epsilon: 0.2879560169469154, 보상 합:906
에피소드 3400 : 770, epsilon: 0.27390881125866456, 보상 합:632
에피소드 3500 : 999, epsilon: 0.26054686295708057, 보상 합:872
에피소드 3600 : 903, epsilon: 0.24783674349442225, 보상 합:777
에피소드 3700 : 226, epsilon: 0.23574665505006714, 보상 합:180
에피소드 3800 : 914, epsilon: 0.22424635097961643, 보상 합:793
에피소드 3900 : 999, epsilon: 0.2133070601446863, 보상 합:900
에피소드 4000 : 787, epsilon: 0.20290141493408156, 보상 합:678
에피소드 4100 : 614, epsilon: 0.19300338279627216, 보상 합:508
에피소드 4200 : 296, epsilon: 0.18358820111188587, 보상 합:208
에피소드 4300 : 480, epsilon: 0.17463231524328113, 보상 합:400
에피소드 4400 : 635, epsilon: 0.16611331960621462, 보상 합:518
에피소드 4500 : 546, epsilon: 0.1580099016161789, 보상 합:446
에피소드 4600 : 213, epsilon: 0.15030178836917577, 보상 합:155
에피소드 4700 : 301, epsilon: 0.1429696959235333, 보상 합:222
에피소드 4800 : 518, epsilon: 0.135995281055881, 보상 합:421
에피소드 4900 : 999, epsilon: 0.1293610953705872, 보상 합:901
에피소드 5000 : 416, epsilon: 0.123050541647853, 보상 합:336
에피소드 5100 : 999, epsilon: 0.11704783232125221, 보상 합:894
에피소드 5200 : 612, epsilon: 0.1113379499808404, 보상 합:561
에피소드 5300 : 999, epsilon: 0.10590660980301952, 보상 합:922
에피소드 5400 : 999, epsilon: 0.10074022381316684, 보상 합:945
에피소드 5500 : 311, epsilon: 0.09582586689162056, 보상 합:234
에피소드 5600 : 820, epsilon: 0.09115124443797802, 보상 합:742
에피소드 5700 : 370, epsilon: 0.08670466161280879, 보상 합:309
에피소드 5800 : 394, epsilon: 0.08247499407983327, 보상 합:304
에피소드 5900 : 999, epsilon: 0.07845166017537016, 보상 합:926
에피소드 6000 : 738, epsilon: 0.0746245944354265, 보상 합:665
에피소드 6100 : 499, epsilon: 0.07098422241420221, 보상 합:425
에피소드 6200 : 271, epsilon: 0.06752143673100997, 보상 합:205
에피소드 6300 : 643, epsilon: 0.06422757428568535, 보상 합:538
에피소드 6400 : 332, epsilon: 0.061094394585485615, 보상 합:287
에피소드 6500 : 299, epsilon: 0.05811405912925629, 보상 합:232
에피소드 6600 : 406, epsilon: 0.05527911179728818, 보상 합:351
에피소드 6700 : 98, epsilon: 0.052582460197806366, 보상 합:56
에피소드 6800 : 195, epsilon: 0.05001735792342319, 보상 합:108
에피소드 6900 : 729, epsilon: 0.04757738767316547, 보상 합:633
에피소드 7000 : 535, epsilon: 0.04525644519785055, 보상 합:469
에피소드 7100 : 999, epsilon: 0.04304872402864694, 보상 합:968
에피소드 7200 : 451, epsilon: 0.04094870095061335, 보상 합:392
에피소드 7300 : 683, epsilon: 0.038951122184874364, 보상 합:606
에피소드 7400 : 180, epsilon: 0.03705099024486357, 보상 합:129
에피소드 7500 : 183, epsilon: 0.03524355143375197, 보상 합:116
에피소드 7600 : 246, epsilon: 0.033524283951782224, 보상 합:162
에피소드 7700 : 396, epsilon: 0.03188888658375702, 보상 합:325
에피소드 7800 : 727, epsilon: 0.030333267938379253, 보상 합:674
에피소드 7900 : 999, epsilon: 0.03, 보상 합:979
에피소드 8000 : 153, epsilon: 0.03, 보상 합:89
에피소드 8100 : 826, epsilon: 0.03, 보상 합:738
에피소드 8200 : 650, epsilon: 0.03, 보상 합:583
에피소드 8300 : 999, epsilon: 0.03, 보상 합:984
에피소드 8400 : 999, epsilon: 0.03, 보상 합:961
에피소드 8500 : 999, epsilon: 0.03, 보상 합:986
에피소드 8600 : 999, epsilon: 0.03, 보상 합:970
에피소드 8700 : 506, epsilon: 0.03, 보상 합:454
에피소드 8800 : 999, epsilon: 0.03, 보상 합:998
에피소드 8900 : 295, epsilon: 0.03, 보상 합:223
에피소드 9000 : 172, epsilon: 0.03, 보상 합:115
에피소드 9100 : 508, epsilon: 0.03, 보상 합:442
에피소드 9200 : 616, epsilon: 0.03, 보상 합:569
에피소드 9300 : 999, epsilon: 0.03, 보상 합:982
에피소드 9400 : 332, epsilon: 0.03, 보상 합:257
에피소드 9500 : 999, epsilon: 0.03, 보상 합:976
에피소드 9600 : 999, epsilon: 0.03, 보상 합:1009
에피소드 9700 : 142, epsilon: 0.03, 보상 합:104
에피소드 9800 : 721, epsilon: 0.03, 보상 합:665
에피소드 9900 : 522, epsilon: 0.03, 보상 합:472

Process finished with exit code 0
