C:\ProgramData\Anaconda3\envs\tensorflow\python.exe C:/python/pythonProject8/agent.py
2021-05-04 23:02:28.096974: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'cudart64_110.dll'; dlerror: cudart64_110.dll not found
2021-05-04 23:02:28.098393: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
2021-05-04 23:02:33.415019: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-05-04 23:02:33.418648: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'nvcuda.dll'; dlerror: nvcuda.dll not found
2021-05-04 23:02:33.418901: W tensorflow/stream_executor/cuda/cuda_driver.cc:326] failed call to cuInit: UNKNOWN ERROR (303)
2021-05-04 23:02:33.429296: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:169] retrieving CUDA diagnostic information for host: LAPTOP-JDE9VFPB
2021-05-04 23:02:33.429767: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:176] hostname: LAPTOP-JDE9VFPB
2021-05-04 23:02:33.430400: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-05-04 23:02:33.431301: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
에피소드 0 : 479, epsilon: 1.5, 보상 합:272
에피소드 100 : 593, epsilon: 1.4268262953635011, 보상 합:357
에피소드 200 : 910, epsilon: 1.3572221847604897, 보상 합:609
에피소드 300 : 999, epsilon: 1.2910135345779783, 보상 합:617
에피소드 400 : 999, epsilon: 1.2280347058706922, 보상 합:618
에피소드 500 : 614, epsilon: 1.1681281399701908, 보상 합:391
에피소드 600 : 637, epsilon: 1.111143964309016, 보상 합:397
에피소드 700 : 807, epsilon: 1.056939617473699, 보상 합:501
에피소드 800 : 999, epsilon: 1.005379492548609, 보상 합:651
에피소드 900 : 525, epsilon: 0.9563345978583789, 보상 합:320
에피소드 1000 : 941, epsilon: 0.9096822342601434, 보상 합:618
에피소드 1100 : 999, epsilon: 0.8653056881782626, 보상 합:701
에피소드 1200 : 999, epsilon: 0.8230939396135708, 보상 합:690
에피소드 1300 : 687, epsilon: 0.7829413843966541, 보상 합:475
에피소드 1400 : 573, epsilon: 0.7447475699902992, 보상 합:398
에피소드 1500 : 592, epsilon: 0.7084169441801518, 보상 합:421
에피소드 1600 : 999, epsilon: 0.6738586160248651, 보상 합:761
에피소드 1700 : 507, epsilon: 0.6409861284676901, 보상 합:351
에피소드 1800 : 436, epsilon: 0.6097172420406319, 보상 합:313
에피소드 1900 : 679, epsilon: 0.5799737291200572, 보상 합:501
에피소드 2000 : 800, epsilon: 0.5516811782190176, 보상 합:600
에피소드 2100 : 305, epsilon: 0.5247688078266746, 보상 합:207
