C:\ProgramData\Anaconda3\envs\tensorflow\python.exe C:/python/pythonProject8/agent.py
2021-05-09 23:16:55.606600: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'cudart64_110.dll'; dlerror: cudart64_110.dll not found
2021-05-09 23:16:55.606887: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
2021-05-09 23:17:07.686774: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-05-09 23:17:07.691907: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'nvcuda.dll'; dlerror: nvcuda.dll not found
2021-05-09 23:17:07.692160: W tensorflow/stream_executor/cuda/cuda_driver.cc:326] failed call to cuInit: UNKNOWN ERROR (303)
2021-05-09 23:17:07.710627: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:169] retrieving CUDA diagnostic information for host: LAPTOP-JDE9VFPB
2021-05-09 23:17:07.711111: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:176] hostname: LAPTOP-JDE9VFPB
2021-05-09 23:17:07.711741: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-05-09 23:17:07.712623: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
에피소드 0 : 604, epsilon: 1.5, 보상 합:376
에피소드 100 : 748, epsilon: 1.4268262953635011, 보상 합:495
에피소드 200 : 962, epsilon: 1.3572221847604897, 보상 합:590
에피소드 300 : 434, epsilon: 1.2910135345779783, 보상 합:236
에피소드 400 : 604, epsilon: 1.2280347058706922, 보상 합:364
에피소드 500 : 653, epsilon: 1.1681281399701908, 보상 합:409
에피소드 600 : 370, epsilon: 1.111143964309016, 보상 합:221
에피소드 700 : 608, epsilon: 1.056939617473699, 보상 합:361
에피소드 800 : 846, epsilon: 1.005379492548609, 보상 합:552
에피소드 900 : 411, epsilon: 0.9563345978583789, 보상 합:239
에피소드 1000 : 999, epsilon: 0.9096822342601434, 보상 합:661
에피소드 1100 : 999, epsilon: 0.8653056881782626, 보상 합:693
에피소드 1200 : 954, epsilon: 0.8230939396135708, 보상 합:664
에피소드 1300 : 757, epsilon: 0.7829413843966541, 보상 합:493
에피소드 1400 : 605, epsilon: 0.7447475699902992, 보상 합:422
에피소드 1500 : 806, epsilon: 0.7084169441801518, 보상 합:557
에피소드 1600 : 684, epsilon: 0.6738586160248651, 보상 합:484
에피소드 1700 : 717, epsilon: 0.6409861284676901, 보상 합:526
에피소드 1800 : 999, epsilon: 0.6097172420406319, 보상 합:789
에피소드 1900 : 643, epsilon: 0.5799737291200572, 보상 합:471
에피소드 2000 : 999, epsilon: 0.5516811782190176, 보상 합:767
에피소드 2100 : 761, epsilon: 0.5247688078266746, 보상 합:587
에피소드 2200 : 947, epsilon: 0.4991692893291036, 보상 합:748
에피소드 2300 : 999, epsilon: 0.47481857856845094, 보상 합:811
에피소드 2400 : 999, epsilon: 0.45165575561905763, 보상 합:826
에피소드 2500 : 999, epsilon: 0.4296228723796952, 보상 합:852
에피소드 2600 : 999, epsilon: 0.40866480760063095, 보상 합:812
