C:\ProgramData\Anaconda3\envs\tensorflow\python.exe C:/python/pythonProject8/agent.py
2021-05-07 00:18:22.457556: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'cudart64_110.dll'; dlerror: cudart64_110.dll not found
2021-05-07 00:18:22.457994: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
2021-05-07 00:18:27.379070: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-05-07 00:18:27.382730: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'nvcuda.dll'; dlerror: nvcuda.dll not found
2021-05-07 00:18:27.383344: W tensorflow/stream_executor/cuda/cuda_driver.cc:326] failed call to cuInit: UNKNOWN ERROR (303)
2021-05-07 00:18:27.394103: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:169] retrieving CUDA diagnostic information for host: LAPTOP-JDE9VFPB
2021-05-07 00:18:27.394550: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:176] hostname: LAPTOP-JDE9VFPB
2021-05-07 00:18:27.395214: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-05-07 00:18:27.396187: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
에피소드 0 : 711, epsilon: 1.5, 보상 합:419
에피소드 100 : 999, epsilon: 1.4268262953635011, 보상 합:614
에피소드 200 : 758, epsilon: 1.3572221847604897, 보상 합:483
에피소드 300 : 873, epsilon: 1.2910135345779783, 보상 합:557
에피소드 400 : 737, epsilon: 1.2280347058706922, 보상 합:453
에피소드 500 : 999, epsilon: 1.1681281399701908, 보상 합:648
에피소드 600 : 834, epsilon: 1.111143964309016, 보상 합:563
에피소드 700 : 999, epsilon: 1.056939617473699, 보상 합:605
에피소드 800 : 999, epsilon: 1.005379492548609, 보상 합:617
에피소드 900 : 508, epsilon: 0.9563345978583789, 보상 합:321
에피소드 1000 : 999, epsilon: 0.9096822342601434, 보상 합:686
에피소드 1100 : 673, epsilon: 0.8653056881782626, 보상 합:440
에피소드 1200 : 679, epsilon: 0.8230939396135708, 보상 합:448
에피소드 1300 : 821, epsilon: 0.7829413843966541, 보상 합:573
에피소드 1400 : 609, epsilon: 0.7447475699902992, 보상 합:421
에피소드 1500 : 441, epsilon: 0.7084169441801518, 보상 합:291
에피소드 1600 : 986, epsilon: 0.6738586160248651, 보상 합:751
에피소드 1700 : 696, epsilon: 0.6409861284676901, 보상 합:523
에피소드 1800 : 999, epsilon: 0.6097172420406319, 보상 합:774
에피소드 1900 : 999, epsilon: 0.5799737291200572, 보상 합:764
에피소드 2000 : 831, epsilon: 0.5516811782190176, 보상 합:644
에피소드 2100 : 835, epsilon: 0.5247688078266746, 보상 합:629
에피소드 2200 : 999, epsilon: 0.4991692893291036, 보상 합:847
에피소드 2300 : 999, epsilon: 0.47481857856845094, 보상 합:799
에피소드 2400 : 522, epsilon: 0.45165575561905763, 보상 합:381
에피소드 2500 : 999, epsilon: 0.4296228723796952, 보상 합:799
에피소드 2600 : 999, epsilon: 0.40866480760063095, 보상 합:856
에피소드 2700 : 999, epsilon: 0.38872912898283096, 보상 합:832
에피소드 2800 : 999, epsilon: 0.3697659620043022, 보상 합:837
에피소드 2900 : 979, epsilon: 0.351727865145413, 보상 합:812
에피소드 3000 : 999, epsilon: 0.33456971120102863, 보상 합:877
에피소드 3100 : 496, epsilon: 0.3182485743825335, 보상 합:400
에피소드 3200 : 540, epsilon: 0.3027236229272975, 보상 합:447
에피소드 3300 : 620, epsilon: 0.2879560169469154, 보상 합:517
에피소드 3400 : 999, epsilon: 0.27390881125866456, 보상 합:868
에피소드 3500 : 999, epsilon: 0.26054686295708057, 보상 합:905
