C:\ProgramData\Anaconda3\envs\tensorflow\python.exe C:/python/pythonProject8/agent.py
2021-05-04 19:18:17.703958: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'cudart64_110.dll'; dlerror: cudart64_110.dll not found
2021-05-04 19:18:17.704230: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
2021-05-04 19:18:28.248853: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-05-04 19:18:28.253774: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'nvcuda.dll'; dlerror: nvcuda.dll not found
2021-05-04 19:18:28.254014: W tensorflow/stream_executor/cuda/cuda_driver.cc:326] failed call to cuInit: UNKNOWN ERROR (303)
2021-05-04 19:18:28.265743: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:169] retrieving CUDA diagnostic information for host: LAPTOP-JDE9VFPB
2021-05-04 19:18:28.266193: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:176] hostname: LAPTOP-JDE9VFPB
2021-05-04 19:18:28.266842: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-05-04 19:18:28.267716: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
에피소드 0 : 837, epsilon: 1.5, 보상 합:520
에피소드 100 : 426, epsilon: 1.4268262953635011, 보상 합:259
에피소드 200 : 980, epsilon: 1.3572221847604897, 보상 합:614
에피소드 300 : 979, epsilon: 1.2910135345779783, 보상 합:598
에피소드 400 : 999, epsilon: 1.2280347058706922, 보상 합:645
에피소드 500 : 530, epsilon: 1.1681281399701908, 보상 합:313
에피소드 600 : 999, epsilon: 1.111143964309016, 보상 합:658
에피소드 700 : 895, epsilon: 1.056939617473699, 보상 합:541
에피소드 800 : 886, epsilon: 1.005379492548609, 보상 합:567
에피소드 900 : 913, epsilon: 0.9563345978583789, 보상 합:606
에피소드 1000 : 672, epsilon: 0.9096822342601434, 보상 합:423
에피소드 1100 : 681, epsilon: 0.8653056881782626, 보상 합:443
에피소드 1200 : 636, epsilon: 0.8230939396135708, 보상 합:421
에피소드 1300 : 846, epsilon: 0.7829413843966541, 보상 합:554
에피소드 1400 : 648, epsilon: 0.7447475699902992, 보상 합:445
에피소드 1500 : 479, epsilon: 0.7084169441801518, 보상 합:322
에피소드 1600 : 383, epsilon: 0.6738586160248651, 보상 합:250
에피소드 1700 : 937, epsilon: 0.6409861284676901, 보상 합:682
에피소드 1800 : 276, epsilon: 0.6097172420406319, 보상 합:169
에피소드 1900 : 458, epsilon: 0.5799737291200572, 보상 합:321
에피소드 2000 : 490, epsilon: 0.5516811782190176, 보상 합:343
에피소드 2100 : 731, epsilon: 0.5247688078266746, 보상 합:566
에피소드 2200 : 322, epsilon: 0.4991692893291036, 보상 합:227
에피소드 2300 : 467, epsilon: 0.47481857856845094, 보상 합:331
에피소드 2400 : 604, epsilon: 0.45165575561905763, 보상 합:461
에피소드 2500 : 320, epsilon: 0.4296228723796952, 보상 합:207
에피소드 2600 : 365, epsilon: 0.40866480760063095, 보상 합:253
에피소드 2700 : 661, epsilon: 0.38872912898283096, 보상 합:526
에피소드 2800 : 349, epsilon: 0.3697659620043022, 보상 합:238
에피소드 2900 : 358, epsilon: 0.351727865145413, 보상 합:277
에피소드 3000 : 516, epsilon: 0.33456971120102863, 보상 합:394
에피소드 3100 : 357, epsilon: 0.3182485743825335, 보상 합:267
에피소드 3200 : 647, epsilon: 0.3027236229272975, 보상 합:517
에피소드 3300 : 511, epsilon: 0.2879560169469154, 보상 합:400
에피소드 3400 : 681, epsilon: 0.27390881125866456, 보상 합:570
에피소드 3500 : 438, epsilon: 0.26054686295708057, 보상 합:335
에피소드 3600 : 481, epsilon: 0.24783674349442225, 보상 합:385
에피소드 3700 : 499, epsilon: 0.23574665505006714, 보상 합:402
에피소드 3800 : 207, epsilon: 0.22424635097961643, 보상 합:119
에피소드 3900 : 129, epsilon: 0.2133070601446863, 보상 합:62
에피소드 4000 : 311, epsilon: 0.20290141493408156, 보상 합:218
에피소드 4100 : 166, epsilon: 0.19300338279627216, 보상 합:72
에피소드 4200 : 212, epsilon: 0.18358820111188587, 보상 합:136
에피소드 4300 : 393, epsilon: 0.17463231524328113, 보상 합:300
에피소드 4400 : 383, epsilon: 0.16611331960621462, 보상 합:294
에피소드 4500 : 462, epsilon: 0.1580099016161789, 보상 합:376
에피소드 4600 : 202, epsilon: 0.15030178836917577, 보상 합:111
에피소드 4700 : 250, epsilon: 0.1429696959235333, 보상 합:160
에피소드 4800 : 131, epsilon: 0.135995281055881, 보상 합:36
에피소드 4900 : 207, epsilon: 0.1293610953705872, 보상 합:142
에피소드 5000 : 332, epsilon: 0.123050541647853, 보상 합:231
에피소드 5100 : 240, epsilon: 0.11704783232125221, 보상 합:148
에피소드 5200 : 282, epsilon: 0.1113379499808404, 보상 합:186
에피소드 5300 : 564, epsilon: 0.10590660980301952, 보상 합:490
에피소드 5400 : 205, epsilon: 0.10074022381316684, 보상 합:119
에피소드 5500 : 143, epsilon: 0.09582586689162056, 보상 합:93
에피소드 5600 : 118, epsilon: 0.09115124443797802, 보상 합:59
에피소드 5700 : 394, epsilon: 0.08670466161280879, 보상 합:312
에피소드 5800 : 79, epsilon: 0.08247499407983327, 보상 합:31
에피소드 5900 : 194, epsilon: 0.07845166017537016, 보상 합:128
에피소드 6000 : 198, epsilon: 0.0746245944354265, 보상 합:133
에피소드 6100 : 77, epsilon: 0.07098422241420221, 보상 합:26
에피소드 6200 : 87, epsilon: 0.06752143673100997, 보상 합:29
에피소드 6300 : 83, epsilon: 0.06422757428568535, 보상 합:30
에피소드 6400 : 177, epsilon: 0.061094394585485615, 보상 합:90
에피소드 6500 : 122, epsilon: 0.05811405912925629, 보상 합:52
에피소드 6600 : 187, epsilon: 0.05527911179728818, 보상 합:102
에피소드 6700 : 209, epsilon: 0.052582460197806366, 보상 합:134
에피소드 6800 : 220, epsilon: 0.05001735792342319, 보상 합:147
에피소드 6900 : 190, epsilon: 0.04757738767316547, 보상 합:114
에피소드 7000 : 252, epsilon: 0.04525644519785055, 보상 합:174
에피소드 7100 : 145, epsilon: 0.04304872402864694, 보상 합:48
에피소드 7200 : 86, epsilon: 0.04094870095061335, 보상 합:30
에피소드 7300 : 300, epsilon: 0.038951122184874364, 보상 합:237
에피소드 7400 : 220, epsilon: 0.03705099024486357, 보상 합:135
에피소드 7500 : 209, epsilon: 0.03524355143375197, 보상 합:116
에피소드 7600 : 178, epsilon: 0.033524283951782224, 보상 합:85
에피소드 7700 : 121, epsilon: 0.03188888658375702, 보상 합:45
에피소드 7800 : 158, epsilon: 0.030333267938379253, 보상 합:76
에피소드 7900 : 186, epsilon: 0.03, 보상 합:97
에피소드 8000 : 218, epsilon: 0.03, 보상 합:163
에피소드 8100 : 184, epsilon: 0.03, 보상 합:89
에피소드 8200 : 170, epsilon: 0.03, 보상 합:101
에피소드 8300 : 203, epsilon: 0.03, 보상 합:105
에피소드 8400 : 254, epsilon: 0.03, 보상 합:168
에피소드 8500 : 217, epsilon: 0.03, 보상 합:152
에피소드 8600 : 146, epsilon: 0.03, 보상 합:50
에피소드 8700 : 292, epsilon: 0.03, 보상 합:191
에피소드 8800 : 234, epsilon: 0.03, 보상 합:140
에피소드 8900 : 117, epsilon: 0.03, 보상 합:54
에피소드 9000 : 222, epsilon: 0.03, 보상 합:126
에피소드 9100 : 243, epsilon: 0.03, 보상 합:157
에피소드 9200 : 306, epsilon: 0.03, 보상 합:214
에피소드 9300 : 262, epsilon: 0.03, 보상 합:167
에피소드 9400 : 285, epsilon: 0.03, 보상 합:214
에피소드 9500 : 227, epsilon: 0.03, 보상 합:129
에피소드 9600 : 242, epsilon: 0.03, 보상 합:142
에피소드 9700 : 117, epsilon: 0.03, 보상 합:58
에피소드 9800 : 236, epsilon: 0.03, 보상 합:165
에피소드 9900 : 905, epsilon: 0.03, 보상 합:816

Process finished with exit code 0
