C:\ProgramData\Anaconda3\envs\tensorflow\python.exe C:/python/pythonProject8/agent.py
2021-05-05 22:41:12.270815: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'cudart64_110.dll'; dlerror: cudart64_110.dll not found
2021-05-05 22:41:12.271091: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
2021-05-05 22:41:22.985203: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-05-05 22:41:22.989251: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'nvcuda.dll'; dlerror: nvcuda.dll not found
2021-05-05 22:41:22.989500: W tensorflow/stream_executor/cuda/cuda_driver.cc:326] failed call to cuInit: UNKNOWN ERROR (303)
2021-05-05 22:41:23.006407: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:169] retrieving CUDA diagnostic information for host: LAPTOP-JDE9VFPB
2021-05-05 22:41:23.006874: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:176] hostname: LAPTOP-JDE9VFPB
2021-05-05 22:41:23.007513: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-05-05 22:41:23.009547: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
에피소드 0 : 716, epsilon: 1.5, 보상 합:447
에피소드 100 : 506, epsilon: 1.4268262953635011, 보상 합:316
에피소드 200 : 491, epsilon: 1.3572221847604897, 보상 합:305
에피소드 300 : 787, epsilon: 1.2910135345779783, 보상 합:520
에피소드 400 : 999, epsilon: 1.2280347058706922, 보상 합:642
에피소드 500 : 335, epsilon: 1.1681281399701908, 보상 합:192
에피소드 600 : 454, epsilon: 1.111143964309016, 보상 합:268
에피소드 700 : 536, epsilon: 1.056939617473699, 보상 합:323
에피소드 800 : 452, epsilon: 1.005379492548609, 보상 합:277
에피소드 900 : 539, epsilon: 0.9563345978583789, 보상 합:331
에피소드 1000 : 536, epsilon: 0.9096822342601434, 보상 합:341
에피소드 1100 : 790, epsilon: 0.8653056881782626, 보상 합:525
에피소드 1200 : 607, epsilon: 0.8230939396135708, 보상 합:420
에피소드 1300 : 253, epsilon: 0.7829413843966541, 보상 합:164
에피소드 1400 : 618, epsilon: 0.7447475699902992, 보상 합:407
에피소드 1500 : 373, epsilon: 0.7084169441801518, 보상 합:242
에피소드 1600 : 905, epsilon: 0.6738586160248651, 보상 합:682
에피소드 1700 : 809, epsilon: 0.6409861284676901, 보상 합:595
에피소드 1800 : 612, epsilon: 0.6097172420406319, 보상 합:444
에피소드 1900 : 999, epsilon: 0.5799737291200572, 보상 합:812
에피소드 2000 : 507, epsilon: 0.5516811782190176, 보상 합:343
에피소드 2100 : 999, epsilon: 0.5247688078266746, 보상 합:768
에피소드 2200 : 999, epsilon: 0.4991692893291036, 보상 합:818
에피소드 2300 : 521, epsilon: 0.47481857856845094, 보상 합:387
에피소드 2400 : 823, epsilon: 0.45165575561905763, 보상 합:649
에피소드 2500 : 623, epsilon: 0.4296228723796952, 보상 합:462
에피소드 2600 : 999, epsilon: 0.40866480760063095, 보상 합:850
에피소드 2700 : 536, epsilon: 0.38872912898283096, 보상 합:413
에피소드 2800 : 999, epsilon: 0.3697659620043022, 보상 합:867
에피소드 2900 : 475, epsilon: 0.351727865145413, 보상 합:371
에피소드 3000 : 999, epsilon: 0.33456971120102863, 보상 합:850
에피소드 3100 : 999, epsilon: 0.3182485743825335, 보상 합:837
에피소드 3200 : 999, epsilon: 0.3027236229272975, 보상 합:896
에피소드 3300 : 369, epsilon: 0.2879560169469154, 보상 합:273
에피소드 3400 : 999, epsilon: 0.27390881125866456, 보상 합:882
에피소드 3500 : 999, epsilon: 0.26054686295708057, 보상 합:882
에피소드 3600 : 999, epsilon: 0.24783674349442225, 보상 합:901
에피소드 3700 : 505, epsilon: 0.23574665505006714, 보상 합:430
에피소드 3800 : 999, epsilon: 0.22424635097961643, 보상 합:918
에피소드 3900 : 316, epsilon: 0.2133070601446863, 보상 합:233
에피소드 4000 : 795, epsilon: 0.20290141493408156, 보상 합:711
에피소드 4100 : 549, epsilon: 0.19300338279627216, 보상 합:462
에피소드 4200 : 999, epsilon: 0.18358820111188587, 보상 합:919
에피소드 4300 : 592, epsilon: 0.17463231524328113, 보상 합:505
에피소드 4400 : 617, epsilon: 0.16611331960621462, 보상 합:520
에피소드 4500 : 581, epsilon: 0.1580099016161789, 보상 합:497
에피소드 4600 : 999, epsilon: 0.15030178836917577, 보상 합:929
에피소드 4700 : 999, epsilon: 0.1429696959235333, 보상 합:921
에피소드 4800 : 999, epsilon: 0.135995281055881, 보상 합:944
에피소드 4900 : 999, epsilon: 0.1293610953705872, 보상 합:907
에피소드 5000 : 395, epsilon: 0.123050541647853, 보상 합:336
에피소드 5100 : 999, epsilon: 0.11704783232125221, 보상 합:946
에피소드 5200 : 944, epsilon: 0.1113379499808404, 보상 합:821
에피소드 5300 : 850, epsilon: 0.10590660980301952, 보상 합:777
에피소드 5400 : 999, epsilon: 0.10074022381316684, 보상 합:916
에피소드 5500 : 344, epsilon: 0.09582586689162056, 보상 합:287
에피소드 5600 : 999, epsilon: 0.09115124443797802, 보상 합:920
에피소드 5700 : 999, epsilon: 0.08670466161280879, 보상 합:972
에피소드 5800 : 999, epsilon: 0.08247499407983327, 보상 합:945
에피소드 5900 : 999, epsilon: 0.07845166017537016, 보상 합:963
에피소드 6000 : 999, epsilon: 0.0746245944354265, 보상 합:934
에피소드 6100 : 999, epsilon: 0.07098422241420221, 보상 합:962
에피소드 6200 : 999, epsilon: 0.06752143673100997, 보상 합:955
에피소드 6300 : 904, epsilon: 0.06422757428568535, 보상 합:819
에피소드 6400 : 999, epsilon: 0.061094394585485615, 보상 합:975
에피소드 6500 : 999, epsilon: 0.05811405912925629, 보상 합:969
에피소드 6600 : 332, epsilon: 0.05527911179728818, 보상 합:260
에피소드 6700 : 502, epsilon: 0.052582460197806366, 보상 합:415
에피소드 6800 : 999, epsilon: 0.05001735792342319, 보상 합:924
에피소드 6900 : 999, epsilon: 0.04757738767316547, 보상 합:947
에피소드 7000 : 999, epsilon: 0.04525644519785055, 보상 합:931
에피소드 7100 : 999, epsilon: 0.04304872402864694, 보상 합:982
에피소드 7200 : 999, epsilon: 0.04094870095061335, 보상 합:957
에피소드 7300 : 999, epsilon: 0.038951122184874364, 보상 합:938
에피소드 7400 : 138, epsilon: 0.03705099024486357, 보상 합:68
에피소드 7500 : 999, epsilon: 0.03524355143375197, 보상 합:953
에피소드 7600 : 999, epsilon: 0.033524283951782224, 보상 합:987
에피소드 7700 : 999, epsilon: 0.03188888658375702, 보상 합:981
에피소드 7800 : 526, epsilon: 0.030333267938379253, 보상 합:473
에피소드 7900 : 999, epsilon: 0.03, 보상 합:942
에피소드 8000 : 999, epsilon: 0.03, 보상 합:985
에피소드 8100 : 999, epsilon: 0.03, 보상 합:964
에피소드 8200 : 999, epsilon: 0.03, 보상 합:991
에피소드 8300 : 999, epsilon: 0.03, 보상 합:975
에피소드 8400 : 999, epsilon: 0.03, 보상 합:989
에피소드 8500 : 999, epsilon: 0.03, 보상 합:965
에피소드 8600 : 999, epsilon: 0.03, 보상 합:1003
에피소드 8700 : 940, epsilon: 0.03, 보상 합:894
에피소드 8800 : 732, epsilon: 0.03, 보상 합:685
에피소드 8900 : 999, epsilon: 0.03, 보상 합:977
에피소드 9000 : 468, epsilon: 0.03, 보상 합:396
에피소드 9100 : 999, epsilon: 0.03, 보상 합:1002
에피소드 9200 : 999, epsilon: 0.03, 보상 합:970
에피소드 9300 : 999, epsilon: 0.03, 보상 합:995
에피소드 9400 : 157, epsilon: 0.03, 보상 합:102
에피소드 9500 : 250, epsilon: 0.03, 보상 합:173
에피소드 9600 : 999, epsilon: 0.03, 보상 합:1004
에피소드 9700 : 553, epsilon: 0.03, 보상 합:462
에피소드 9800 : 999, epsilon: 0.03, 보상 합:1008
에피소드 9900 : 348, epsilon: 0.03, 보상 합:288

Process finished with exit code 0
