C:\ProgramData\Anaconda3\envs\tensorflow\python.exe C:/python/pythonProject8/agent.py
2021-05-10 01:28:38.008865: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'cudart64_110.dll'; dlerror: cudart64_110.dll not found
2021-05-10 01:28:38.009137: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
2021-05-10 01:28:45.708210: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-05-10 01:28:45.714764: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'nvcuda.dll'; dlerror: nvcuda.dll not found
2021-05-10 01:28:45.715618: W tensorflow/stream_executor/cuda/cuda_driver.cc:326] failed call to cuInit: UNKNOWN ERROR (303)
2021-05-10 01:28:45.737448: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:169] retrieving CUDA diagnostic information for host: LAPTOP-JDE9VFPB
2021-05-10 01:28:45.738293: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:176] hostname: LAPTOP-JDE9VFPB
2021-05-10 01:28:45.740935: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-05-10 01:28:45.742443: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
에피소드 0 : 929, epsilon: 1.5, 보상 합:579
에피소드 100 : 759, epsilon: 1.4268262953635011, 보상 합:483
에피소드 200 : 558, epsilon: 1.3572221847604897, 보상 합:348
에피소드 300 : 777, epsilon: 1.2910135345779783, 보상 합:493
에피소드 400 : 524, epsilon: 1.2280347058706922, 보상 합:335
에피소드 500 : 805, epsilon: 1.1681281399701908, 보상 합:517
에피소드 600 : 845, epsilon: 1.111143964309016, 보상 합:537
에피소드 700 : 549, epsilon: 1.056939617473699, 보상 합:330
에피소드 800 : 582, epsilon: 1.005379492548609, 보상 합:351
에피소드 900 : 999, epsilon: 0.9563345978583789, 보상 합:634
에피소드 1000 : 855, epsilon: 0.9096822342601434, 보상 합:577
에피소드 1100 : 728, epsilon: 0.8653056881782626, 보상 합:492
에피소드 1200 : 709, epsilon: 0.8230939396135708, 보상 합:487
에피소드 1300 : 635, epsilon: 0.7829413843966541, 보상 합:419
에피소드 1400 : 862, epsilon: 0.7447475699902992, 보상 합:619
에피소드 1500 : 999, epsilon: 0.7084169441801518, 보상 합:760
에피소드 1600 : 353, epsilon: 0.6738586160248651, 보상 합:242
에피소드 1700 : 999, epsilon: 0.6409861284676901, 보상 합:773
에피소드 1800 : 534, epsilon: 0.6097172420406319, 보상 합:391
에피소드 1900 : 608, epsilon: 0.5799737291200572, 보상 합:438
에피소드 2000 : 938, epsilon: 0.5516811782190176, 보상 합:729
에피소드 2100 : 999, epsilon: 0.5247688078266746, 보상 합:802
에피소드 2200 : 999, epsilon: 0.4991692893291036, 보상 합:835
에피소드 2300 : 330, epsilon: 0.47481857856845094, 보상 합:228
에피소드 2400 : 585, epsilon: 0.45165575561905763, 보상 합:456
에피소드 2500 : 849, epsilon: 0.4296228723796952, 보상 합:691
에피소드 2600 : 826, epsilon: 0.40866480760063095, 보상 합:681
에피소드 2700 : 350, epsilon: 0.38872912898283096, 보상 합:238
