C:\ProgramData\Anaconda3\envs\tensorflow\python.exe C:/python/pythonProject8/agent.py
2021-05-08 20:35:32.844114: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'cudart64_110.dll'; dlerror: cudart64_110.dll not found
2021-05-08 20:35:32.844425: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
2021-05-08 20:35:43.979343: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-05-08 20:35:43.982830: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'nvcuda.dll'; dlerror: nvcuda.dll not found
2021-05-08 20:35:43.984520: W tensorflow/stream_executor/cuda/cuda_driver.cc:326] failed call to cuInit: UNKNOWN ERROR (303)
2021-05-08 20:35:44.009011: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:169] retrieving CUDA diagnostic information for host: LAPTOP-JDE9VFPB
2021-05-08 20:35:44.009511: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:176] hostname: LAPTOP-JDE9VFPB
2021-05-08 20:35:44.010147: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-05-08 20:35:44.013220: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
에피소드 0 : 848, epsilon: 1.5, 보상 합:502
에피소드 100 : 511, epsilon: 1.4268262953635011, 보상 합:304
에피소드 200 : 651, epsilon: 1.3572221847604897, 보상 합:418
에피소드 300 : 561, epsilon: 1.2910135345779783, 보상 합:326
에피소드 400 : 777, epsilon: 1.2280347058706922, 보상 합:503
에피소드 500 : 594, epsilon: 1.1681281399701908, 보상 합:345
에피소드 600 : 715, epsilon: 1.111143964309016, 보상 합:460
에피소드 700 : 347, epsilon: 1.056939617473699, 보상 합:190
에피소드 800 : 692, epsilon: 1.005379492548609, 보상 합:421
에피소드 900 : 722, epsilon: 0.9563345978583789, 보상 합:463
에피소드 1000 : 442, epsilon: 0.9096822342601434, 보상 합:277
에피소드 1100 : 464, epsilon: 0.8653056881782626, 보상 합:309
에피소드 1200 : 436, epsilon: 0.8230939396135708, 보상 합:283
에피소드 1300 : 763, epsilon: 0.7829413843966541, 보상 합:512
에피소드 1400 : 851, epsilon: 0.7447475699902992, 보상 합:613
에피소드 1500 : 888, epsilon: 0.7084169441801518, 보상 합:623
에피소드 1600 : 999, epsilon: 0.6738586160248651, 보상 합:717
에피소드 1700 : 998, epsilon: 0.6409861284676901, 보상 합:761
에피소드 1800 : 999, epsilon: 0.6097172420406319, 보상 합:755
에피소드 1900 : 814, epsilon: 0.5799737291200572, 보상 합:608
에피소드 2000 : 999, epsilon: 0.5516811782190176, 보상 합:799
에피소드 2100 : 999, epsilon: 0.5247688078266746, 보상 합:823
에피소드 2200 : 241, epsilon: 0.4991692893291036, 보상 합:168
에피소드 2300 : 999, epsilon: 0.47481857856845094, 보상 합:792
에피소드 2400 : 999, epsilon: 0.45165575561905763, 보상 합:806
에피소드 2500 : 999, epsilon: 0.4296228723796952, 보상 합:823
에피소드 2600 : 931, epsilon: 0.40866480760063095, 보상 합:760
에피소드 2700 : 999, epsilon: 0.38872912898283096, 보상 합:813
에피소드 2800 : 999, epsilon: 0.3697659620043022, 보상 합:823
에피소드 2900 : 999, epsilon: 0.351727865145413, 보상 합:869
에피소드 3000 : 999, epsilon: 0.33456971120102863, 보상 합:855
에피소드 3100 : 999, epsilon: 0.3182485743825335, 보상 합:862
에피소드 3200 : 391, epsilon: 0.3027236229272975, 보상 합:285
에피소드 3300 : 999, epsilon: 0.2879560169469154, 보상 합:890
에피소드 3400 : 999, epsilon: 0.27390881125866456, 보상 합:889
에피소드 3500 : 684, epsilon: 0.26054686295708057, 보상 합:586
에피소드 3600 : 423, epsilon: 0.24783674349442225, 보상 합:304
에피소드 3700 : 999, epsilon: 0.23574665505006714, 보상 합:905
에피소드 3800 : 999, epsilon: 0.22424635097961643, 보상 합:892
에피소드 3900 : 597, epsilon: 0.2133070601446863, 보상 합:505
에피소드 4000 : 999, epsilon: 0.20290141493408156, 보상 합:892
에피소드 4100 : 999, epsilon: 0.19300338279627216, 보상 합:933
에피소드 4200 : 999, epsilon: 0.18358820111188587, 보상 합:906
에피소드 4300 : 999, epsilon: 0.17463231524328113, 보상 합:890
에피소드 4400 : 624, epsilon: 0.16611331960621462, 보상 합:540
에피소드 4500 : 999, epsilon: 0.1580099016161789, 보상 합:907
에피소드 4600 : 999, epsilon: 0.15030178836917577, 보상 합:951
에피소드 4700 : 999, epsilon: 0.1429696959235333, 보상 합:955
에피소드 4800 : 999, epsilon: 0.135995281055881, 보상 합:942
에피소드 4900 : 223, epsilon: 0.1293610953705872, 보상 합:163
에피소드 5000 : 999, epsilon: 0.123050541647853, 보상 합:960
에피소드 5100 : 157, epsilon: 0.11704783232125221, 보상 합:98
에피소드 5200 : 999, epsilon: 0.1113379499808404, 보상 합:870
에피소드 5300 : 999, epsilon: 0.10590660980301952, 보상 합:967
에피소드 5400 : 650, epsilon: 0.10074022381316684, 보상 합:558
