C:\ProgramData\Anaconda3\envs\tensorflow\python.exe C:/python/pythonProject8/agent.py
2021-05-10 15:41:53.012412: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'cudart64_110.dll'; dlerror: cudart64_110.dll not found
2021-05-10 15:41:53.012841: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
2021-05-10 15:42:01.331410: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-05-10 15:42:01.336550: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'nvcuda.dll'; dlerror: nvcuda.dll not found
2021-05-10 15:42:01.336870: W tensorflow/stream_executor/cuda/cuda_driver.cc:326] failed call to cuInit: UNKNOWN ERROR (303)
2021-05-10 15:42:01.350660: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:169] retrieving CUDA diagnostic information for host: LAPTOP-JDE9VFPB
2021-05-10 15:42:01.351361: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:176] hostname: LAPTOP-JDE9VFPB
2021-05-10 15:42:01.352330: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-05-10 15:42:01.353544: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
에피소드 0 : 705, epsilon: 1.5, 보상 합:449
에피소드 100 : 665, epsilon: 1.4268262953635011, 보상 합:412
에피소드 200 : 649, epsilon: 1.3572221847604897, 보상 합:405
에피소드 300 : 936, epsilon: 1.2910135345779783, 보상 합:606
에피소드 400 : 861, epsilon: 1.2280347058706922, 보상 합:573
에피소드 500 : 724, epsilon: 1.1681281399701908, 보상 합:446
에피소드 600 : 381, epsilon: 1.111143964309016, 보상 합:210
에피소드 700 : 432, epsilon: 1.056939617473699, 보상 합:249
에피소드 800 : 628, epsilon: 1.005379492548609, 보상 합:384
에피소드 900 : 999, epsilon: 0.9563345978583789, 보상 합:652
에피소드 1000 : 722, epsilon: 0.9096822342601434, 보상 합:463
에피소드 1100 : 879, epsilon: 0.8653056881782626, 보상 합:566
에피소드 1200 : 639, epsilon: 0.8230939396135708, 보상 합:442
에피소드 1300 : 503, epsilon: 0.7829413843966541, 보상 합:327
에피소드 1400 : 898, epsilon: 0.7447475699902992, 보상 합:623
에피소드 1500 : 476, epsilon: 0.7084169441801518, 보상 합:304
에피소드 1600 : 999, epsilon: 0.6738586160248651, 보상 합:762
에피소드 1700 : 999, epsilon: 0.6409861284676901, 보상 합:743
에피소드 1800 : 999, epsilon: 0.6097172420406319, 보상 합:654
에피소드 1900 : 802, epsilon: 0.5799737291200572, 보상 합:616
에피소드 2000 : 782, epsilon: 0.5516811782190176, 보상 합:574
에피소드 2100 : 618, epsilon: 0.5247688078266746, 보상 합:427
에피소드 2200 : 518, epsilon: 0.4991692893291036, 보상 합:411
에피소드 2300 : 999, epsilon: 0.47481857856845094, 보상 합:832
에피소드 2400 : 999, epsilon: 0.45165575561905763, 보상 합:820
에피소드 2500 : 554, epsilon: 0.4296228723796952, 보상 합:425
에피소드 2600 : 351, epsilon: 0.40866480760063095, 보상 합:253
에피소드 2700 : 855, epsilon: 0.38872912898283096, 보상 합:659
에피소드 2800 : 999, epsilon: 0.3697659620043022, 보상 합:853
에피소드 2900 : 824, epsilon: 0.351727865145413, 보상 합:682
에피소드 3000 : 667, epsilon: 0.33456971120102863, 보상 합:554
에피소드 3100 : 999, epsilon: 0.3182485743825335, 보상 합:833
에피소드 3200 : 559, epsilon: 0.3027236229272975, 보상 합:456
에피소드 3300 : 549, epsilon: 0.2879560169469154, 보상 합:410
에피소드 3400 : 999, epsilon: 0.27390881125866456, 보상 합:895
에피소드 3500 : 999, epsilon: 0.26054686295708057, 보상 합:901
에피소드 3600 : 999, epsilon: 0.24783674349442225, 보상 합:899
에피소드 3700 : 999, epsilon: 0.23574665505006714, 보상 합:838
에피소드 3800 : 999, epsilon: 0.22424635097961643, 보상 합:921
에피소드 3900 : 822, epsilon: 0.2133070601446863, 보상 합:712
