C:\ProgramData\Anaconda3\envs\tensorflow\python.exe C:/python/pythonProject8/agent.py
2021-05-06 02:09:27.215644: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'cudart64_110.dll'; dlerror: cudart64_110.dll not found
2021-05-06 02:09:27.216152: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
2021-05-06 02:09:30.980503: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-05-06 02:09:30.984314: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'nvcuda.dll'; dlerror: nvcuda.dll not found
2021-05-06 02:09:30.984558: W tensorflow/stream_executor/cuda/cuda_driver.cc:326] failed call to cuInit: UNKNOWN ERROR (303)
2021-05-06 02:09:30.992254: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:169] retrieving CUDA diagnostic information for host: LAPTOP-JDE9VFPB
2021-05-06 02:09:30.992925: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:176] hostname: LAPTOP-JDE9VFPB
2021-05-06 02:09:30.993569: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-05-06 02:09:30.994495: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
에피소드 0 : 999, epsilon: 1.5, 보상 합:618
에피소드 100 : 747, epsilon: 1.4268262953635011, 보상 합:496
에피소드 200 : 934, epsilon: 1.3572221847604897, 보상 합:596
에피소드 300 : 357, epsilon: 1.2910135345779783, 보상 합:208
에피소드 400 : 752, epsilon: 1.2280347058706922, 보상 합:472
에피소드 500 : 506, epsilon: 1.1681281399701908, 보상 합:309
에피소드 600 : 995, epsilon: 1.111143964309016, 보상 합:655
에피소드 700 : 999, epsilon: 1.056939617473699, 보상 합:673
에피소드 800 : 332, epsilon: 1.005379492548609, 보상 합:177
에피소드 900 : 959, epsilon: 0.9563345978583789, 보상 합:623
에피소드 1000 : 885, epsilon: 0.9096822342601434, 보상 합:612
에피소드 1100 : 706, epsilon: 0.8653056881782626, 보상 합:469
에피소드 1200 : 999, epsilon: 0.8230939396135708, 보상 합:709
에피소드 1300 : 999, epsilon: 0.7829413843966541, 보상 합:716
에피소드 1400 : 999, epsilon: 0.7447475699902992, 보상 합:720
에피소드 1500 : 617, epsilon: 0.7084169441801518, 보상 합:429
에피소드 1600 : 811, epsilon: 0.6738586160248651, 보상 합:606
에피소드 1700 : 725, epsilon: 0.6409861284676901, 보상 합:547
에피소드 1800 : 987, epsilon: 0.6097172420406319, 보상 합:760
에피소드 1900 : 737, epsilon: 0.5799737291200572, 보상 합:573
에피소드 2000 : 788, epsilon: 0.5516811782190176, 보상 합:610
에피소드 2100 : 523, epsilon: 0.5247688078266746, 보상 합:397
에피소드 2200 : 999, epsilon: 0.4991692893291036, 보상 합:785
에피소드 2300 : 665, epsilon: 0.47481857856845094, 보상 합:508
에피소드 2400 : 866, epsilon: 0.45165575561905763, 보상 합:693
에피소드 2500 : 999, epsilon: 0.4296228723796952, 보상 합:826
에피소드 2600 : 999, epsilon: 0.40866480760063095, 보상 합:821
에피소드 2700 : 744, epsilon: 0.38872912898283096, 보상 합:606
에피소드 2800 : 999, epsilon: 0.3697659620043022, 보상 합:839
에피소드 2900 : 999, epsilon: 0.351727865145413, 보상 합:848
에피소드 3000 : 905, epsilon: 0.33456971120102863, 보상 합:757
에피소드 3100 : 847, epsilon: 0.3182485743825335, 보상 합:711
에피소드 3200 : 983, epsilon: 0.3027236229272975, 보상 합:848
에피소드 3300 : 480, epsilon: 0.2879560169469154, 보상 합:388
에피소드 3400 : 964, epsilon: 0.27390881125866456, 보상 합:826
에피소드 3500 : 999, epsilon: 0.26054686295708057, 보상 합:856
에피소드 3600 : 999, epsilon: 0.24783674349442225, 보상 합:886
에피소드 3700 : 999, epsilon: 0.23574665505006714, 보상 합:918
에피소드 3800 : 929, epsilon: 0.22424635097961643, 보상 합:840
에피소드 3900 : 999, epsilon: 0.2133070601446863, 보상 합:928
에피소드 4000 : 206, epsilon: 0.20290141493408156, 보상 합:125
에피소드 4100 : 551, epsilon: 0.19300338279627216, 보상 합:460
에피소드 4200 : 536, epsilon: 0.18358820111188587, 보상 합:452
에피소드 4300 : 999, epsilon: 0.17463231524328113, 보상 합:956
에피소드 4400 : 664, epsilon: 0.16611331960621462, 보상 합:572
에피소드 4500 : 999, epsilon: 0.1580099016161789, 보상 합:937
에피소드 4600 : 999, epsilon: 0.15030178836917577, 보상 합:956
에피소드 4700 : 999, epsilon: 0.1429696959235333, 보상 합:935
에피소드 4800 : 458, epsilon: 0.135995281055881, 보상 합:349
에피소드 4900 : 974, epsilon: 0.1293610953705872, 보상 합:886
에피소드 5000 : 265, epsilon: 0.123050541647853, 보상 합:177
에피소드 5100 : 867, epsilon: 0.11704783232125221, 보상 합:777
