C:\ProgramData\Anaconda3\envs\tensorflow\python.exe C:/python/pythonProject8/agent.py
2021-05-04 17:42:48.332442: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'cudart64_110.dll'; dlerror: cudart64_110.dll not found
2021-05-04 17:42:48.332705: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
2021-05-04 17:42:52.219381: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-05-04 17:42:52.223100: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'nvcuda.dll'; dlerror: nvcuda.dll not found
2021-05-04 17:42:52.223343: W tensorflow/stream_executor/cuda/cuda_driver.cc:326] failed call to cuInit: UNKNOWN ERROR (303)
2021-05-04 17:42:52.231353: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:169] retrieving CUDA diagnostic information for host: LAPTOP-JDE9VFPB
2021-05-04 17:42:52.231801: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:176] hostname: LAPTOP-JDE9VFPB
2021-05-04 17:42:52.232427: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-05-04 17:42:52.233273: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
에피소드 0 : 753, epsilon: 1.5, 보상 합:476
에피소드 100 : 597, epsilon: 1.4268262953635011, 보상 합:351
에피소드 200 : 683, epsilon: 1.3572221847604897, 보상 합:423
에피소드 300 : 985, epsilon: 1.2910135345779783, 보상 합:624
에피소드 400 : 742, epsilon: 1.2280347058706922, 보상 합:436
에피소드 500 : 765, epsilon: 1.1681281399701908, 보상 합:491
에피소드 600 : 927, epsilon: 1.111143964309016, 보상 합:583
에피소드 700 : 765, epsilon: 1.056939617473699, 보상 합:495
에피소드 800 : 999, epsilon: 1.005379492548609, 보상 합:672
에피소드 900 : 563, epsilon: 0.9563345978583789, 보상 합:335
에피소드 1000 : 971, epsilon: 0.9096822342601434, 보상 합:650
에피소드 1100 : 412, epsilon: 0.8653056881782626, 보상 합:269
에피소드 1200 : 868, epsilon: 0.8230939396135708, 보상 합:584
에피소드 1300 : 832, epsilon: 0.7829413843966541, 보상 합:564
에피소드 1400 : 884, epsilon: 0.7447475699902992, 보상 합:629
에피소드 1500 : 453, epsilon: 0.7084169441801518, 보상 합:313
에피소드 1600 : 441, epsilon: 0.6738586160248651, 보상 합:303
에피소드 1700 : 991, epsilon: 0.6409861284676901, 보상 합:730
에피소드 1800 : 489, epsilon: 0.6097172420406319, 보상 합:325
에피소드 1900 : 376, epsilon: 0.5799737291200572, 보상 합:254
에피소드 2000 : 235, epsilon: 0.5516811782190176, 보상 합:135
에피소드 2100 : 462, epsilon: 0.5247688078266746, 보상 합:328
에피소드 2200 : 461, epsilon: 0.4991692893291036, 보상 합:334
에피소드 2300 : 999, epsilon: 0.47481857856845094, 보상 합:815
에피소드 2400 : 447, epsilon: 0.45165575561905763, 보상 합:310
에피소드 2500 : 803, epsilon: 0.4296228723796952, 보상 합:653
에피소드 2600 : 403, epsilon: 0.40866480760063095, 보상 합:298
에피소드 2700 : 408, epsilon: 0.38872912898283096, 보상 합:295
에피소드 2800 : 610, epsilon: 0.3697659620043022, 보상 합:479
에피소드 2900 : 618, epsilon: 0.351727865145413, 보상 합:495
에피소드 3000 : 397, epsilon: 0.33456971120102863, 보상 합:276
에피소드 3100 : 389, epsilon: 0.3182485743825335, 보상 합:276
에피소드 3200 : 623, epsilon: 0.3027236229272975, 보상 합:488
에피소드 3300 : 581, epsilon: 0.2879560169469154, 보상 합:463
에피소드 3400 : 282, epsilon: 0.27390881125866456, 보상 합:193
에피소드 3500 : 204, epsilon: 0.26054686295708057, 보상 합:115
에피소드 3600 : 380, epsilon: 0.24783674349442225, 보상 합:293
에피소드 3700 : 999, epsilon: 0.23574665505006714, 보상 합:877
에피소드 3800 : 350, epsilon: 0.22424635097961643, 보상 합:259
에피소드 3900 : 708, epsilon: 0.2133070601446863, 보상 합:571
에피소드 4000 : 399, epsilon: 0.20290141493408156, 보상 합:307
에피소드 4100 : 248, epsilon: 0.19300338279627216, 보상 합:162
에피소드 4200 : 334, epsilon: 0.18358820111188587, 보상 합:250
에피소드 4300 : 592, epsilon: 0.17463231524328113, 보상 합:484
에피소드 4400 : 501, epsilon: 0.16611331960621462, 보상 합:410
에피소드 4500 : 444, epsilon: 0.1580099016161789, 보상 합:347
에피소드 4600 : 465, epsilon: 0.15030178836917577, 보상 합:373
에피소드 4700 : 466, epsilon: 0.1429696959235333, 보상 합:358
에피소드 4800 : 979, epsilon: 0.135995281055881, 보상 합:872
에피소드 4900 : 999, epsilon: 0.1293610953705872, 보상 합:929
에피소드 5000 : 320, epsilon: 0.123050541647853, 보상 합:238
에피소드 5100 : 278, epsilon: 0.11704783232125221, 보상 합:217
에피소드 5200 : 396, epsilon: 0.1113379499808404, 보상 합:327
에피소드 5300 : 832, epsilon: 0.10590660980301952, 보상 합:755
에피소드 5400 : 308, epsilon: 0.10074022381316684, 보상 합:244
에피소드 5500 : 630, epsilon: 0.09582586689162056, 보상 합:538
에피소드 5600 : 515, epsilon: 0.09115124443797802, 보상 합:423
에피소드 5700 : 500, epsilon: 0.08670466161280879, 보상 합:413
에피소드 5800 : 264, epsilon: 0.08247499407983327, 보상 합:169
