C:\ProgramData\Anaconda3\envs\tensorflow\python.exe C:/python/pythonProject8/agent.py
2021-05-07 02:08:01.261224: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'cudart64_110.dll'; dlerror: cudart64_110.dll not found
2021-05-07 02:08:01.261572: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
2021-05-07 02:08:06.061217: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-05-07 02:08:06.064676: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'nvcuda.dll'; dlerror: nvcuda.dll not found
2021-05-07 02:08:06.064983: W tensorflow/stream_executor/cuda/cuda_driver.cc:326] failed call to cuInit: UNKNOWN ERROR (303)
2021-05-07 02:08:06.075788: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:169] retrieving CUDA diagnostic information for host: LAPTOP-JDE9VFPB
2021-05-07 02:08:06.076242: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:176] hostname: LAPTOP-JDE9VFPB
2021-05-07 02:08:06.076875: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-05-07 02:08:06.077778: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
에피소드 0 : 458, epsilon: 1.5, 보상 합:246
에피소드 100 : 534, epsilon: 1.4268262953635011, 보상 합:324
에피소드 200 : 610, epsilon: 1.3572221847604897, 보상 합:382
에피소드 300 : 366, epsilon: 1.2910135345779783, 보상 합:213
에피소드 400 : 610, epsilon: 1.2280347058706922, 보상 합:379
에피소드 500 : 999, epsilon: 1.1681281399701908, 보상 합:639
에피소드 600 : 904, epsilon: 1.111143964309016, 보상 합:569
에피소드 700 : 920, epsilon: 1.056939617473699, 보상 합:599
에피소드 800 : 999, epsilon: 1.005379492548609, 보상 합:632
에피소드 900 : 685, epsilon: 0.9563345978583789, 보상 합:428
에피소드 1000 : 258, epsilon: 0.9096822342601434, 보상 합:148
에피소드 1100 : 550, epsilon: 0.8653056881782626, 보상 합:357
에피소드 1200 : 502, epsilon: 0.8230939396135708, 보상 합:318
에피소드 1300 : 485, epsilon: 0.7829413843966541, 보상 합:305
에피소드 1400 : 747, epsilon: 0.7447475699902992, 보상 합:548
에피소드 1500 : 747, epsilon: 0.7084169441801518, 보상 합:560
에피소드 1600 : 787, epsilon: 0.6738586160248651, 보상 합:576
에피소드 1700 : 652, epsilon: 0.6409861284676901, 보상 합:503
에피소드 1800 : 442, epsilon: 0.6097172420406319, 보상 합:310
에피소드 1900 : 531, epsilon: 0.5799737291200572, 보상 합:378
에피소드 2000 : 999, epsilon: 0.5516811782190176, 보상 합:793
에피소드 2100 : 459, epsilon: 0.5247688078266746, 보상 합:363
에피소드 2200 : 359, epsilon: 0.4991692893291036, 보상 합:252
에피소드 2300 : 999, epsilon: 0.47481857856845094, 보상 합:791
에피소드 2400 : 652, epsilon: 0.45165575561905763, 보상 합:506
에피소드 2500 : 999, epsilon: 0.4296228723796952, 보상 합:804
에피소드 2600 : 573, epsilon: 0.40866480760063095, 보상 합:445
에피소드 2700 : 225, epsilon: 0.38872912898283096, 보상 합:135
에피소드 2800 : 999, epsilon: 0.3697659620043022, 보상 합:870
에피소드 2900 : 286, epsilon: 0.351727865145413, 보상 합:192
에피소드 3000 : 999, epsilon: 0.33456971120102863, 보상 합:867
에피소드 3100 : 999, epsilon: 0.3182485743825335, 보상 합:825
에피소드 3200 : 527, epsilon: 0.3027236229272975, 보상 합:408
에피소드 3300 : 257, epsilon: 0.2879560169469154, 보상 합:168
에피소드 3400 : 305, epsilon: 0.27390881125866456, 보상 합:233
에피소드 3500 : 999, epsilon: 0.26054686295708057, 보상 합:899
에피소드 3600 : 562, epsilon: 0.24783674349442225, 보상 합:492
에피소드 3700 : 802, epsilon: 0.23574665505006714, 보상 합:685
에피소드 3800 : 999, epsilon: 0.22424635097961643, 보상 합:905
에피소드 3900 : 229, epsilon: 0.2133070601446863, 보상 합:146
에피소드 4000 : 999, epsilon: 0.20290141493408156, 보상 합:879
에피소드 4100 : 999, epsilon: 0.19300338279627216, 보상 합:919
에피소드 4200 : 999, epsilon: 0.18358820111188587, 보상 합:845
에피소드 4300 : 936, epsilon: 0.17463231524328113, 보상 합:813
에피소드 4400 : 999, epsilon: 0.16611331960621462, 보상 합:905
에피소드 4500 : 512, epsilon: 0.1580099016161789, 보상 합:432
에피소드 4600 : 999, epsilon: 0.15030178836917577, 보상 합:913
에피소드 4700 : 999, epsilon: 0.1429696959235333, 보상 합:913
에피소드 4800 : 841, epsilon: 0.135995281055881, 보상 합:746
에피소드 4900 : 999, epsilon: 0.1293610953705872, 보상 합:962
에피소드 5000 : 999, epsilon: 0.123050541647853, 보상 합:962
에피소드 5100 : 721, epsilon: 0.11704783232125221, 보상 합:617
에피소드 5200 : 616, epsilon: 0.1113379499808404, 보상 합:569
에피소드 5300 : 999, epsilon: 0.10590660980301952, 보상 합:912
에피소드 5400 : 999, epsilon: 0.10074022381316684, 보상 합:966
에피소드 5500 : 999, epsilon: 0.09582586689162056, 보상 합:935
에피소드 5600 : 999, epsilon: 0.09115124443797802, 보상 합:970
에피소드 5700 : 999, epsilon: 0.08670466161280879, 보상 합:979
에피소드 5800 : 440, epsilon: 0.08247499407983327, 보상 합:371
에피소드 5900 : 999, epsilon: 0.07845166017537016, 보상 합:973
에피소드 6000 : 999, epsilon: 0.0746245944354265, 보상 합:953
에피소드 6100 : 532, epsilon: 0.07098422241420221, 보상 합:450
에피소드 6200 : 999, epsilon: 0.06752143673100997, 보상 합:935
에피소드 6300 : 317, epsilon: 0.06422757428568535, 보상 합:230
에피소드 6400 : 999, epsilon: 0.061094394585485615, 보상 합:938
에피소드 6500 : 999, epsilon: 0.05811405912925629, 보상 합:973
에피소드 6600 : 999, epsilon: 0.05527911179728818, 보상 합:979
에피소드 6700 : 999, epsilon: 0.052582460197806366, 보상 합:966
에피소드 6800 : 999, epsilon: 0.05001735792342319, 보상 합:989
에피소드 6900 : 999, epsilon: 0.04757738767316547, 보상 합:941
에피소드 7000 : 999, epsilon: 0.04525644519785055, 보상 합:984
에피소드 7100 : 999, epsilon: 0.04304872402864694, 보상 합:972
에피소드 7200 : 999, epsilon: 0.04094870095061335, 보상 합:969
에피소드 7300 : 999, epsilon: 0.038951122184874364, 보상 합:989
에피소드 7400 : 921, epsilon: 0.03705099024486357, 보상 합:836
에피소드 7500 : 537, epsilon: 0.03524355143375197, 보상 합:463
에피소드 7600 : 603, epsilon: 0.033524283951782224, 보상 합:522
에피소드 7700 : 999, epsilon: 0.03188888658375702, 보상 합:983
에피소드 7800 : 999, epsilon: 0.030333267938379253, 보상 합:967
에피소드 7900 : 999, epsilon: 0.03, 보상 합:986
에피소드 8000 : 257, epsilon: 0.03, 보상 합:167
에피소드 8100 : 999, epsilon: 0.03, 보상 합:955
에피소드 8200 : 999, epsilon: 0.03, 보상 합:962
에피소드 8300 : 999, epsilon: 0.03, 보상 합:1003
에피소드 8400 : 999, epsilon: 0.03, 보상 합:978
에피소드 8500 : 999, epsilon: 0.03, 보상 합:958
에피소드 8600 : 999, epsilon: 0.03, 보상 합:1009
에피소드 8700 : 999, epsilon: 0.03, 보상 합:1005
에피소드 8800 : 999, epsilon: 0.03, 보상 합:1010
에피소드 8900 : 966, epsilon: 0.03, 보상 합:879
에피소드 9000 : 999, epsilon: 0.03, 보상 합:973
에피소드 9100 : 999, epsilon: 0.03, 보상 합:967
에피소드 9200 : 999, epsilon: 0.03, 보상 합:999
에피소드 9300 : 999, epsilon: 0.03, 보상 합:1007
에피소드 9400 : 999, epsilon: 0.03, 보상 합:982
에피소드 9500 : 999, epsilon: 0.03, 보상 합:985
에피소드 9600 : 999, epsilon: 0.03, 보상 합:983
에피소드 9700 : 999, epsilon: 0.03, 보상 합:989
에피소드 9800 : 999, epsilon: 0.03, 보상 합:1006
에피소드 9900 : 999, epsilon: 0.03, 보상 합:988

Process finished with exit code 0
